seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
98,50,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,79.0,17.3223,2304.53,173.106,3.75758,1.33463,1264.42,15.8804,4.4057,0.825608,648.022,137.698,4.4057,0.825608,11.0449,0.210128
114,100,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,103.455,16.6491,2375.91,119.076,3.87879,1.21192,2906.45,21.3315,4.48023,0.509656,634.088,114.491,4.48023,0.509656,11.9878,0.107275
130,150,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,114.697,15.1729,2396.21,92.0116,4.48485,0.901388,4534.3,21.5754,4.17576,0.547407,548.703,93.8341,4.17576,0.547407,12.2625,0.0803589
146,200,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,119.424,15.1987,2378.87,91.5631,4.72727,1.41421,6177.18,19.224,4.15681,0.831888,528.208,109.526,4.15681,0.831888,12.3603,0.0652044
162,250,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,124.364,16.2131,2388.14,89.3778,4.9697,1.56125,7807.39,20.7312,4.07009,0.770319,504.316,105.513,4.07009,0.770319,12.4096,0.0721181
178,300,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,131.303,15.2038,2388.66,83.3341,5.0303,1.13192,9444.58,23.2883,4.03063,0.72743,494.564,96.0473,4.03063,0.72743,12.4738,0.0620147
