seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
104,50,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,146.242,42.5463,4715.57,263.924,11.9091,1.5411,1395.42,9.06228,3.33532,0.325621,398.929,34.7583,3.33532,0.325621,0.0,0.0
120,100,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,238.667,35.4072,4941.58,46.1867,12.7273,1.14564,4604.73,11.6216,3.69476,0.338278,390.086,27.5982,3.69476,0.338278,0.0,0.0
136,150,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,280.303,34.2276,4946.05,39.6058,12.3333,0.984251,7893.39,10.1965,3.93341,0.356771,403.162,29.6094,3.93341,0.356771,0.0,0.0
152,200,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,305.303,37.1025,4948.41,43.8449,12.1818,0.707107,11185.5,15.5352,4.01679,0.247139,407.374,21.7692,4.01679,0.247139,0.0,0.0
168,250,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,325.152,38.5455,4942.88,45.5654,12.0303,0.770552,14477.0,17.6352,4.09441,0.323638,412.419,25.3654,4.09441,0.323638,0.0,0.0
184,300,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,332.485,34.539,4938.44,45.6508,11.9394,1.21192,17760.9,17.9626,4.1649,0.31029,415.137,25.1699,4.1649,0.31029,0.0,0.0
