seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
12,10,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,21.303,4.62659,757.602,133.501,3.0,0.661438,10.0,0.0,1.0,0.0,256.837,34.5214,2.90657,0.769356,1.0,0.0
28,20,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,43.5152,5.33925,1543.19,164.918,5.93939,1.21192,20.0,0.0,1.0,0.0,261.179,20.7864,2.99019,0.423763,1.0,0.0
44,30,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,63.1818,5.81729,2227.05,194.12,8.54545,1.06066,30.0,0.0,1.0,0.0,261.974,21.896,3.00798,0.381863,1.0,0.0
60,40,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,85.2424,7.69753,2972.67,235.984,11.5455,1.34629,40.0,0.0,1.0,0.0,258.808,19.4533,3.01623,0.448074,1.0,0.0
76,50,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,103.818,8.62212,3689.7,229.857,14.0909,1.10397,50.0,0.0,1.0,0.0,262.651,16.5921,3.00753,0.338174,1.0,0.0
92,60,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,127.788,11.6987,4435.45,230.314,17.0606,1.45774,60.0,0.0,1.0,0.0,261.022,16.1526,3.03012,0.343057,1.0,0.0
108,70,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,145.0,8.90576,4877.29,114.576,18.5758,1.13192,70.0,0.0,1.0,0.0,263.133,12.7869,2.95417,0.342469,1.0,0.0
124,80,100,2,10,5,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,156.061,10.574,4948.36,38.787,19.4848,1.1726,80.0,0.0,1.0,0.0,254.662,13.4445,3.02515,0.2998,1.0,0.0
