seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
7,10,100,4,10,5,2500,10,0.05,0.5,0,4,33,150,30,1,1.0,0,0,50.0606,9.1513,2381.5,94.7597,3.42424,0.707107,120.242,14.2083,2.24747,0.323745,715.619,135.718,6.69444,1.32577,2.9594,0.154367
23,20,100,4,10,5,2500,10,0.05,0.5,0,4,33,150,30,1,1.0,0,0,65.2121,8.25665,2443.59,50.2773,3.81818,1.1592,459.242,55.7511,2.39848,0.587978,671.049,158.617,6.81212,1.22236,4.26498,0.214526
39,30,100,4,10,5,2500,10,0.05,0.5,0,4,33,150,30,1,1.0,0,0,72.3939,8.77831,2450.82,40.275,3.63636,0.883883,776.727,89.3809,2.59091,0.403093,691.248,109.179,7.12778,1.21699,4.47906,0.182746
55,40,100,4,10,5,2500,10,0.05,0.5,0,4,33,150,30,1,1.0,0,0,76.8182,6.35637,2466.62,23.2069,4.12121,0.707107,1114.85,125.403,2.37525,0.394628,615.281,105.419,6.93283,1.20199,4.61222,0.224759
