seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
32,10,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,11.9697,3.89298,2340.7,178.858,2.54545,0.935414,0.0039697,0.00224283,24.5758,5.48008
36,20,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,21.0,6.41775,2356.48,115.097,3.18182,0.866025,0.0130303,0.00301543,79.6364,7.68318
40,30,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,28.9697,6.82589,2414.06,70.3078,3.51515,0.847791,0.0265152,0.00426557,162.242,14.0912
44,40,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,31.9697,7.81219,2428.42,66.0814,4.09091,0.810093,0.0464848,0.00560202,278.455,18.7941
64,50,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,35.8485,7.89431,2446.42,47.638,3.9697,1.39194,0.0720909,0.00922755,419.455,24.1978
68,60,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,42.4848,8.1245,2456.33,41.8522,4.45455,1.10397,0.103606,0.00970805,597.788,38.4285
104,70,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,44.8788,9.50578,2454.79,45.124,4.48485,1.1726,0.147364,0.0268256,802.424,43.6993
108,80,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,50.3333,7.36405,2461.76,43.7193,4.69697,1.07529,0.180303,0.0186924,1036.18,52.5642
112,90,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,50.4545,9.11417,2469.48,29.7974,5.0303,0.951972,0.232273,0.0332681,1300.61,47.3478
116,100,100,8,10,1,2500,5,0.05,0.5,2,1,33,150,0,0,1,0,2,58.3333,9.123,2469.33,31.9459,5.06061,0.901388,0.272061,0.0200841,1596.61,50.5198
