seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
15,10,100,4,10,5,5000,10,0.05,0.5,0,4,33,150,30,1,1.0,0.0,0,64.6364,12.4268,3973.27,759.97,4.69697,1.1592,118.939,21.1535,2.16111,0.452897,856.708,133.896,6.6202,1.23328,2.97413,0.144224
31,20,100,4,10,5,5000,10,0.05,0.5,0,4,33,150,30,1,1.0,0.0,0,107.03,11.5366,4899.53,118.0,6.9697,1.22474,576.909,70.9665,2.28824,0.206288,709.797,69.5708,6.68651,0.769548,4.99538,0.381751
47,30,100,4,10,5,5000,10,0.05,0.5,0,4,33,150,30,1,1.0,0.0,0,125.727,12.3574,4951.39,39.44,7.27273,1.04583,1397.61,220.585,2.45711,0.402747,694.633,105.822,7.00789,0.983949,6.9285,0.680607
63,40,100,4,10,5,5000,10,0.05,0.5,0,4,33,150,30,1,1.0,0.0,0,138.424,10.1889,4956.32,28.3362,7.42424,1.06066,2416.85,301.827,2.54876,0.412822,679.368,95.2234,7.4086,0.762254,7.51127,0.708212
