num_deliveries,opt_opts_ratio_avg
10,1.8636378636378637
20,1.5134480566928037
30,1.4184055461102252
40,1.354548541819417
50,1.3522167228737205
60,1.3226813186813187
70,1.306540564962749
80,1.3038260037939498
