x,n_points,theta,spans,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var
0,25,0.0,1500,0.9160966666666667,0.7789,0.9819,0.04752188231594553,0.0022583292988505766,0.8242766666666667,0.7018,0.9819,0.06555606015456163,0.004297597022988503,0.95773,0.8934,1.0,0.02522032773447806,0.0006360649310344831,0.7145600000000002,0.4584,0.9388,0.11767370608359488,0.013847101103448275,0.9303099999999999,0.8095,0.9874,0.04946914294232594,0.0024471961034482764,0.7818400000000001,0.5771,0.8998,0.08751419037642628,0.0076587335172413834,0.9819366666666668,0.9529,1.0,0.01548791482889571,0.00023987550574712762
1,25,0.0,10000,0.8656533333333335,0.7082,1.0,0.0747280482509901,0.005584281195402303,0.7660899999999999,0.6561,0.9085,0.0656240722758727,0.0043065188620689645,0.9052733333333333,0.8029,1.0,0.040480876143351135,0.0016387013333333351,0.62454,0.2552,0.8369,0.13067297322336582,0.01707542593103448,0.8139899999999999,0.6759999999999999,0.9615,0.07639566854484482,0.0058362981724137935,0.6880066666666665,0.3085,0.9401,0.13385656485216924,0.017917579954022985,0.9780599999999999,0.9227,1.0,0.026399315560615682,0.0006969238620689653
2,25,0.0,20000,0.8955066666666668,0.7251,1.0,0.08516876120419661,0.007253717885057467,0.7767633333333333,0.6421,0.9753,0.09061825378774538,0.00821166791954023,0.88395,0.6764,1.0,0.10144457549101245,0.010291001896551723,0.6397266666666666,0.3272,0.9281,0.1445636715307023,0.020898655126436783,0.8275799999999999,0.6544,1.0,0.09947083232163398,0.009894446482758622,0.5927499999999999,0.3621,0.8121,0.1299637847433953,0.016890585344827583,0.9865533333333333,0.9,1.0,0.0290223425625171,0.0008422963678160915
3,25,0.0,30000,0.9962066666666666,0.9094,1.0,0.016932847762066883,0.0002867213333333334,0.9885833333333334,0.9035,1.0,0.02984217200347619,0.0008905552298850582,0.9612299999999999,0.5065,1.0,0.10566948846806938,0.011166040793103448,0.8697133333333333,0.3427,1.0,0.186953512077631,0.03495161567816092,0.9874033333333334,0.8953,1.0,0.032766482910114886,0.001073642402298851,0.8506033333333335,0.3816,1.0,0.1955531667424195,0.03824104102298852,1.0,1.0,1.0,0.0,0.0
4,25,0.4,1500,0.9194600000000002,0.7707,0.9879,0.05186095202392246,0.0026895583448275874,0.8305633333333334,0.6191,0.9444,0.06582698578448862,0.004333192057471266,0.9668666666666665,0.9288,0.9947,0.018382813062530836,0.0003379278160919543,0.6917933333333334,0.4596,0.958,0.11842426630794346,0.014024306850574712,0.9428166666666663,0.8723,0.9912,0.032810753949164946,0.0010765455747126433,0.7467966666666667,0.5395,0.8629,0.075010718697665,0.005626607919540229,0.9795833333333335,0.9481,1.0,0.013810817432756113,0.00019073867816092016
5,25,0.4,10000,0.8370533333333335,0.7491,0.9254,0.04805012277664414,0.002308814298850576,0.7816166666666665,0.6466,0.8733,0.0522009650018698,0.0027249407471264357,0.9118433333333336,0.774,0.9915,0.04521419279258513,0.0020443232298850574,0.5424466666666665,0.3179,0.7434,0.11741234950418102,0.013785659816091957,0.8363633333333332,0.6559999999999999,0.9699,0.07627161754989967,0.005817359643678163,0.6370433333333333,0.4683,0.9504,0.11422355178162338,0.013047019781609197,0.9818033333333331,0.9366,1.0,0.02267448031314639,0.0005141320574712633
6,25,0.4,20000,0.8879800000000001,0.7395,1.0,0.08422609719247273,0.007094035448275863,0.7938766666666666,0.6281,0.9956,0.10661286938986413,0.011366303919540228,0.8504266666666666,0.4249,1.0,0.13640209305031117,0.018605530988505748,0.5540133333333332,0.1552,0.9354,0.19629114676635465,0.038530214298850576,0.8634599999999999,0.6713,1.0,0.1051144978353244,0.011049057655172416,0.5563166666666667,0.2019,0.8682,0.1402150370295405,0.019660256609195414,0.9919833333333334,0.9029,1.0,0.02420146879745158,0.0005857110919540225
7,25,0.4,30000,0.9934933333333333,0.8381,1.0,0.029971479930016847,0.0008982896091954026,0.9877699999999999,0.8381,1.0,0.035478853828238545,0.001258749068965517,0.9828133333333333,0.8182,1.0,0.048018751605462685,0.0023058005057471254,0.8690266666666667,0.3276,1.0,0.20459305265673688,0.04185831719540231,0.9848633333333332,0.8381,1.0,0.042895651120567826,0.0018400368850574717,0.83594,0.2335,1.0,0.21859002185637938,0.04778159765517241,1.0,1.0,1.0,0.0,0.0
8,25,0.8,1500,0.9195166666666665,0.7504,0.9985,0.05936439826705225,0.0035241317816091956,0.8566900000000001,0.6769,0.9784,0.07110258421997487,0.005055577482758619,0.9753666666666672,0.9298,1.0,0.019672251301372883,0.00038699747126436714,0.5933300000000001,0.3509,0.8618,0.15208900558781246,0.02313106562068965,0.9259966666666667,0.7563,1.0,0.047762115150798756,0.00228121964367816,0.6252433333333335,0.4004,0.8291,0.11482044958838196,0.013183735643678163,0.9873833333333334,0.9435,1.0,0.01275444704956786,0.00016267591954023032
9,25,0.8,10000,0.8456899999999998,0.6402,0.9911,0.09940682814957243,0.009881717482758625,0.7596866666666666,0.537,0.9214,0.10117835646071717,0.010237059816091949,0.8963433333333334,0.769,0.9951,0.06555771704664384,0.004297814264367816,0.4975633333333334,0.1744,0.8956,0.18398570687239085,0.03385074033333333,0.8821633333333331,0.6735,1.0,0.08699371552146676,0.007567906540229887,0.5126566666666666,0.1978,0.7358,0.13991248911085602,0.019575504609195403,0.9785666666666668,0.8525,1.0,0.03557899742082771,0.0012658650574712649
