,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.7567,0.7264,1.0,0.8177,0.6655,0.4546,0.9691,19.099,100
1,0.7565,0.6959,0.9999,0.7872,0.635,0.5152,0.9691,20.2475,100
2,0.9085,0.6356,1.0,0.8179,0.6356,0.4855,0.9692,17.9307,100
3,0.7875,0.6965,1.0,0.8182,0.6057,0.1527,0.9694,12.0891,100
4,0.8185,0.7581,1.0,0.9991,0.6065,0.6983,0.9686,3.6733,100
5,0.7576,0.6062,1.0,0.8183,0.575,0.2133,0.9694,8.8416,100
6,0.7573,0.6967,1.0,0.9695,0.606,0.1528,0.9695,11.0396,100
7,0.8827,0.7945,0.9713,0.9413,0.5294,0.5613,0.8822,13.099,100
8,0.7576,0.6062,1.0,0.8183,0.575,0.2133,0.9694,8.8416,100
9,0.8476,0.6657,0.9997,0.8171,0.6333,0.0916,0.9387,22.7426,100
10,0.848,0.7572,1.0,0.8176,0.6641,0.6391,0.9694,24.3069,100
11,0.8783,0.757,0.9999,0.8171,0.6029,0.0915,0.9086,24.2871,100
12,0.7875,0.7272,1.0,0.7874,0.6342,0.6699,0.9696,29.9307,100
13,0.8734,0.7487,0.9998,0.8113,0.6528,0.6901,0.937,30.901,100
14,0.9029,0.7734,0.9999,0.9991,0.577,0.7443,0.9342,30.5446,100
15,0.9644,0.7227,0.9998,0.5503,0.6186,0.725,0.1719,49.3762,100
16,0.9058,0.7807,0.9694,0.8117,0.6218,0.7533,0.9062,33.0396,100
17,0.8739,0.7492,0.9689,0.7802,0.5906,0.6594,0.9058,37.8317,100
18,0.7805,0.7491,0.9691,0.78,0.5906,0.7528,0.9057,35.3168,100
19,0.9048,0.8116,0.9997,0.8112,0.6215,0.7835,0.9055,33.297,100
20,0.9645,0.7228,0.9656,0.5503,0.6187,0.7251,0.1719,49.3762,100
21,0.9593,0.7592,0.9998,0.5993,0.6784,0.2411,0.1998,53.4554,100
22,0.8562,0.7851,1.0,0.5703,0.6041,0.7146,0.1783,46.1089,100
23,0.9276,0.7135,0.9644,0.535,0.6412,0.6793,0.1783,50.901,100
24,0.7805,0.749,0.969,0.78,0.6216,0.7838,0.9057,35.1782,100
25,0.8116,0.7805,1.0,0.8114,0.6217,0.7837,0.9058,33.495,100
26,0.8734,0.7487,0.9998,0.8113,0.6528,0.6901,0.9368,30.901,100
27,0.8785,0.7572,0.9703,0.7874,0.6339,0.6392,0.9393,29.0,100
28,0.8738,0.7491,0.9999,0.8115,0.6219,0.6587,0.9368,27.6931,100
29,0.8174,0.7568,1.0,0.8177,0.6642,0.5755,0.9694,23.6733,100
30,0.8477,0.6659,0.9997,0.8172,0.6335,0.0917,0.9383,21.1584,100
31,0.787,0.7568,0.9999,0.8177,0.6342,0.5174,0.9391,18.6832,100
32,0.8172,0.7568,0.97,0.7874,0.6342,0.6365,0.9389,22.8614,100
33,0.8119,0.8119,0.9997,0.8116,0.6532,0.6591,0.968,31.2772,100
34,0.8423,0.7798,1.0,0.8113,0.6528,0.7521,0.9371,31.099,100
35,0.7877,0.7271,0.9704,0.7872,0.6643,0.6092,0.9693,26.8812,100
36,0.8785,0.7572,1.0,0.7873,0.6642,0.6391,0.9394,27.8119,100
37,0.8737,0.7804,1.0,0.8116,0.6529,0.6593,0.9679,34.505,100
38,0.9307,0.7583,0.9662,0.7921,0.5831,0.6919,0.1719,40.3663,100
39,0.851,0.7773,1.0,0.5547,0.6269,0.6674,0.185,47.7327,100
40,0.8791,0.7996,0.9996,0.7987,0.5966,0.6821,0.1997,43.4554,100
41,0.8463,0.7697,0.9625,0.7689,0.613,0.6566,0.1923,43.4554,100
42,0.8148,0.741,1.0,0.7397,0.5898,0.7059,0.1848,43.8911,100
43,0.8455,0.769,0.9996,0.7676,0.5738,0.656,0.1918,43.495,100
44,0.857,0.7499,1.0,0.5351,0.5686,0.716,0.1782,44.3465,100
45,0.8455,0.769,0.9996,0.7676,0.5738,0.6942,0.1918,43.495,100
46,0.8562,0.7851,1.0,0.5703,0.6041,0.7146,0.1783,46.1089,100
47,0.8657,0.7658,0.9996,0.7986,0.5636,0.7021,0.1661,42.2475,100
48,0.8953,0.792,1.0,0.5506,0.6515,0.7259,0.1719,42.3861,100
49,0.896,0.7925,0.9998,0.5505,0.652,0.7245,0.1719,45.7327,100
50,0.8657,0.7658,0.9999,0.7986,0.5636,0.7352,0.1661,42.2475,100
51,0.8704,0.7737,0.968,0.8052,0.5774,0.744,0.9027,40.3465,100
52,0.8117,0.8117,0.9694,0.812,0.6219,0.7219,0.9371,36.8614,100
53,0.8614,0.7924,0.9995,0.5508,0.6174,0.7253,0.172,44.3861,100
54,0.8611,0.7921,0.9995,0.5506,0.6172,0.7945,0.1719,43.4158,100
55,0.8611,0.7921,0.9995,0.5506,0.6172,0.7945,0.1719,43.4158,100
56,0.8141,0.7773,1.0,0.8136,0.5898,0.6672,0.1852,47.1386,100
57,0.846,0.7694,1.0,0.7685,0.6511,0.6563,0.1919,43.4554,100
58,0.8454,0.7689,0.9991,0.7675,0.5737,0.6941,0.1918,43.495,100
59,0.8511,0.7774,0.9997,0.7766,0.5894,0.7054,0.185,44.3465,100
60,0.8148,0.741,1.0,0.7397,0.5898,0.669,0.1848,43.8911,100
61,0.8922,0.7496,0.9996,0.5349,0.6039,0.7512,0.1781,44.4059,100
62,0.8615,0.7924,1.0,0.5509,0.5832,0.7254,0.172,44.3861,100
63,0.896,0.7925,0.9999,0.5507,0.6177,0.7588,0.1719,46.0099,100
64,0.8657,0.7658,0.9999,0.7986,0.5636,0.7352,0.1661,42.2475,100
65,0.8615,0.7925,0.9996,0.5509,0.5832,0.7254,0.172,44.3861,100
66,0.866,0.766,0.9998,0.5321,0.6302,0.7673,0.8997,45.2376,100
67,0.8705,0.7734,0.968,0.8052,0.6096,0.7441,0.9025,40.2673,100
68,0.896,0.7925,0.9999,0.5507,0.6177,0.7244,0.1719,46.0099,100
69,0.8922,0.7496,0.9995,0.5349,0.6039,0.7512,0.1781,44.4059,100
70,0.8952,0.7919,0.9999,0.5505,0.6515,0.6915,0.1719,42.3861,100
71,0.851,0.7772,1.0,0.5547,0.5898,0.6674,0.185,47.7327,100
72,0.8141,0.7773,0.9995,0.7767,0.5901,0.6303,0.1852,47.1386,100
73,0.8408,0.7213,0.9613,0.7198,0.5578,0.763,0.2001,43.4554,100
74,0.961,0.7302,0.9616,0.5764,0.6141,0.2319,0.1921,53.4158,100
75,0.8329,0.7499,0.9994,0.7908,0.539,0.5846,0.2083,46.9208,100
76,0.8793,0.7599,0.9996,0.7991,0.5573,0.6012,0.2,46.9208,100
77,0.8568,0.8095,0.9996,0.7606,0.5684,0.7171,0.2375,43.495,100
78,0.8433,0.8433,1.0,0.7897,0.5765,0.583,0.2628,42.3069,100
79,0.8428,0.8428,0.9995,0.7893,0.6286,0.5827,0.2627,42.3069,100
80,0.8564,0.8091,0.9996,0.8076,0.5681,0.7641,0.2374,43.495,100
81,0.84,0.7205,0.9608,0.7597,0.558,0.6015,0.2002,46.9208,100
82,0.9572,0.7492,0.9998,0.5826,0.6652,0.2511,0.1665,54.0495,100
83,0.9572,0.7492,1.0,0.5826,0.707,0.2511,0.1665,54.0495,100
84,0.8329,0.7499,0.9996,0.7908,0.5808,0.5846,0.2083,46.9208,100
85,0.8839,0.7308,0.9995,0.7685,0.6129,0.6164,0.1924,46.9208,100
86,0.9187,0.7596,1.0,0.7987,0.5969,0.6407,0.2,46.9208,100
87,0.9348,0.7411,0.9676,0.7407,0.8055,0.7751,0.9347,50.9406,100
88,0.9251,0.6295,0.9999,0.9622,0.6679,0.1115,0.9616,43.0198,100
89,0.9284,0.7501,1.0,0.9632,0.68,0.6085,0.9279,37.1584,100
90,0.8396,0.6005,1.0,0.9596,0.7215,0.5603,0.959,51.4752,100
91,0.9608,0.6148,0.9995,0.9606,0.655,0.5001,0.9218,47.8515,100
92,0.9613,0.6542,1.0,0.9614,0.7324,0.5008,0.9608,47.6931,100
93,0.9233,0.616,0.9626,0.9619,0.6945,0.5011,0.9613,47.6931,100
94,0.9257,0.6299,0.9995,0.9628,0.6311,0.1116,0.9622,43.0198,100
95,0.9612,0.6541,1.0,0.9613,0.6556,0.5007,0.9607,47.6931,100
96,0.8397,0.6005,0.9994,0.9597,0.6818,0.5603,0.9591,51.4752,100
97,0.9608,0.6538,1.0,0.9607,0.7319,0.5385,0.9607,47.5941,100
98,0.999,0.6289,0.9992,0.9982,0.6301,0.5938,0.9613,41.6139,100
99,0.9659,0.621,0.9664,0.9655,0.6565,0.6916,0.8964,41.6535,100
100,0.9646,0.6205,0.9992,0.9642,0.587,0.6568,0.9301,42.3465,100
101,0.9649,0.6207,0.9995,0.965,0.6564,0.6567,0.9304,42.2673,100
102,0.9662,0.6663,0.9998,0.7663,0.7009,0.7351,0.933,49.4158,100
103,0.9646,0.6078,0.9654,0.9641,0.7876,0.571,0.9284,51.2574,100
104,0.9655,0.6208,0.9996,0.9651,0.6565,0.6224,0.9303,42.2673,100
105,0.9254,0.6294,0.9636,0.9626,0.7052,0.6694,0.925,45.495,100
106,0.9613,0.7308,0.9996,0.9603,0.655,0.6167,0.9607,37.495,100
107,0.9592,0.6399,0.9995,0.9591,0.7211,0.5205,0.9585,49.9109,100
108,0.9203,0.7204,1.0,0.9599,0.6814,0.6415,0.9598,37.495,100
109,0.9597,0.7199,0.9999,0.9592,0.6018,0.6812,0.9591,37.495,100
110,0.8926,0.7142,0.9996,0.9632,0.6798,0.6083,0.928,37.1584,100
111,0.9412,0.7354,0.971,0.9702,0.4723,0.5016,0.8821,28.3861,100
112,0.9031,0.71,1.0,0.9672,0.5822,0.55,0.9027,33.9505,100
