,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
164,0.9323,0.7321,0.9336,0.9331,0.9326,0.9336,0.9331,5.9231,25
165,0.9318,0.732,0.9991,0.9318,0.8662,0.801,0.9318,4.6154,25
166,0.8656,0.7984,0.9999,0.9317,0.8661,0.8676,0.9309,4.8462,25
167,0.9321,0.8653,0.9999,0.999,0.9328,0.8672,0.9319,6.3846,25
168,0.8748,0.7501,0.9996,0.9369,0.8126,0.8136,0.9373,6.3077,25
169,0.933,0.8667,0.9336,0.9998,0.8668,0.8005,0.9333,8.5385,25
170,0.8579,0.7865,1.0,0.8578,0.8572,0.2171,0.9282,6.8462,25
171,0.7165,0.7165,0.9999,0.8578,0.9287,0.288,0.928,5.0769,25
172,0.8577,0.8577,0.9999,0.8575,0.8571,0.2168,0.928,7.4615,25
173,0.8579,0.7864,1.0,0.8579,0.8567,0.217,0.9286,7.0769,25
174,0.9332,0.9332,0.9336,0.9332,0.8671,0.8671,0.9332,1.0,25
175,0.8579,0.7864,1.0,0.8579,0.8566,0.217,0.9285,7.2308,25
176,0.9323,0.7992,0.9337,0.9323,0.8658,0.8672,0.9323,1.0769,25
177,0.7156,0.7156,1.0,0.8578,0.856,0.217,0.9283,6.3846,25
178,0.8575,0.786,0.9998,0.8576,0.8561,0.2167,0.9284,7.1538,25
179,0.8576,0.786,0.9998,0.8577,0.8562,0.2168,0.9285,7.1538,25
180,0.8574,0.7859,0.9998,0.8576,0.8559,0.2165,0.9285,7.5385,25
181,0.8578,0.7863,1.0,0.8578,0.8565,0.2169,0.9285,7.2308,25
182,0.9319,0.7319,0.9997,0.9323,0.7993,0.7345,0.9323,4.1538,25
183,0.9281,0.9281,1.0,0.9999,0.9286,0.7851,0.8575,9.1538,25
184,0.9323,0.7321,0.9336,0.9331,0.9326,0.9336,0.9331,5.9231,25
185,0.932,0.732,0.9996,0.9328,0.8663,0.8672,0.9328,6.1538,25
186,0.9332,0.9332,0.9336,0.9332,0.8671,0.8671,0.9332,1.0,25
187,0.8578,0.7863,0.9999,0.8576,0.8571,0.2169,0.9282,7.0769,25
188,0.8679,0.7345,0.9992,0.932,0.8671,0.6692,0.933,2.9231,25
189,0.9315,0.8648,0.9992,0.9314,0.8668,0.8683,0.9323,1.5385,25
190,0.9314,0.8648,0.9992,0.9313,0.8669,0.8683,0.9323,1.5385,25
191,0.786,0.786,0.9998,0.8575,0.8557,0.2169,0.928,6.6923,25
192,0.7153,0.7153,1.0001,0.8577,0.8557,0.2168,0.9282,6.3846,25
193,0.9332,0.9332,0.9336,0.9332,0.8671,0.8671,0.9332,1.0,25
194,0.9332,0.9332,0.9336,0.9332,0.8671,0.8671,0.9332,1.0,25
195,0.8648,0.8648,0.9347,0.9314,0.8657,0.8017,0.9323,1.6154,25
196,0.9319,0.8652,0.9994,0.9993,0.9324,0.9336,0.9322,6.3846,25
197,0.9998,0.9998,1.0,0.9999,0.9998,0.5841,0.9999,11.7692,25
198,0.7138,0.6418,1.0,0.7138,0.9273,0.2161,0.9284,8.7692,25
199,0.7156,0.7156,1.0,0.8577,0.856,0.217,0.9282,6.3077,25
200,0.9332,0.9332,0.9336,0.9332,0.8671,0.8671,0.9332,1.0,25
201,0.8581,0.7867,0.9999,0.8578,0.8573,0.2174,0.9281,6.8462,25
202,0.8573,0.7858,0.9997,0.8575,0.8559,0.2165,0.9283,7.1538,25
203,0.8578,0.7862,1.0,0.8578,0.8564,0.2169,0.9285,7.2308,25
204,0.7162,0.7162,1.0,0.858,0.8569,0.2173,0.9284,6.4615,25
205,0.932,0.7325,0.9341,0.932,0.8676,0.8678,0.9331,1.5385,25
206,0.9321,0.8655,0.9339,0.9321,0.8674,0.8676,0.9321,1.2308,25
207,0.9334,0.8006,0.9343,0.9328,0.8679,0.8014,0.9328,2.8462,25
208,0.8006,0.7341,0.9339,0.8007,0.8006,0.202,0.8667,7.9231,25
209,0.8667,0.8002,0.9334,0.6673,0.933,0.2021,0.8668,10.0,25
210,0.7859,0.7859,0.9998,0.8574,0.8556,0.2168,0.928,6.6923,25
211,0.7859,0.7859,0.9998,0.8574,0.8556,0.2168,0.928,6.6923,25
212,0.8577,0.7862,0.9999,0.8575,0.857,0.2166,0.9281,7.0769,25
213,0.7865,0.7865,1.0,0.858,0.8567,0.2172,0.9284,6.6923,25
214,0.7984,0.7984,0.9329,0.6657,0.8661,0.5331,0.8659,11.9231,25
215,0.9223,0.9223,0.9995,0.7689,0.9219,0.6159,0.9224,13.0769,25
216,1.0,0.9223,0.923,0.7685,0.9225,0.5397,0.3837,14.0769,25
217,1.0,1.0,1.0,0.9998,0.9996,0.3347,0.4446,16.0,25
218,0.8891,0.8891,1.0,0.3344,0.9996,0.3346,0.3344,16.0,25
219,0.9998,0.9998,1.0,0.8997,0.9995,0.7009,0.3997,14.6923,25
220,0.9081,0.9081,1.0,0.8171,0.9086,0.6371,0.363,14.0,25
221,0.9998,0.8993,1.0,0.8999,0.9999,0.3018,0.3007,14.4615,25
222,0.9997,0.8993,1.0,0.8999,0.9999,0.3018,0.3007,14.4615,25
223,0.9998,0.8993,1.0,0.8999,0.9999,0.3018,0.3015,14.4615,25
224,0.9998,0.8993,0.9999,0.8999,0.9999,0.3018,0.3015,14.4615,25
225,0.8993,0.8993,0.9998,0.8002,1.0,0.9003,0.3014,14.4615,25
226,0.8006,0.6004,0.9999,0.9002,0.8994,0.302,0.3008,14.4615,25
227,0.8006,0.6004,1.0,0.9002,0.8994,0.302,0.3008,14.4615,25
228,0.9997,0.7995,0.9999,0.8999,0.9996,0.3019,0.3014,14.4615,25
229,0.9003,0.6003,0.9999,0.7006,0.9999,0.9005,0.3008,14.4615,25
230,0.9004,0.6003,1.0,0.9002,0.9999,0.302,0.3008,14.4615,25
231,0.7998,0.7,1.0,0.7006,0.9999,0.9005,0.3015,14.4615,25
232,0.9998,0.7996,0.9997,0.8001,1.0,0.9003,0.3014,14.4615,25
233,0.9003,0.6003,0.9999,0.7006,0.8994,0.9006,0.3008,14.4615,25
234,0.9998,0.7996,0.9998,0.8001,0.9997,0.9003,0.3015,14.4615,25
235,0.8891,0.7777,1.0,0.3344,0.9996,0.3346,0.3344,16.0,25
236,0.8993,0.8993,1.0,0.8002,1.0,0.9003,0.3015,14.4615,25
237,0.9998,0.7996,0.9998,0.8002,1.0,0.9003,0.3014,14.4615,25
238,0.7998,0.7,1.0,0.7006,0.9999,0.9005,0.3015,14.4615,25
239,0.7998,0.7,1.0,0.7006,0.9999,0.9005,0.3015,14.4615,25
