,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.7775,0.644,0.9781,0.8669,0.7102,0.2011,0.9554,19.099,100
1,0.7551,0.6438,0.9782,0.8669,0.7769,0.4002,0.9332,20.2475,100
2,0.8445,0.5112,0.978,0.8669,0.7327,0.5119,0.9332,17.9307,100
3,0.7775,0.6219,0.9779,0.8669,0.6442,0.1127,0.9555,12.0891,100
4,0.8224,0.6451,0.9999,0.9771,0.6674,0.6229,0.9548,3.6733,100
5,0.6008,0.4897,0.978,0.867,0.6661,0.1349,0.9556,8.8416,100
6,0.7779,0.578,1.0,0.867,0.7334,0.1128,0.9555,11.0396,100
7,0.8885,0.7556,0.9999,0.9548,0.7329,0.6023,0.9106,13.099,100
8,0.6008,0.4897,0.978,0.867,0.6661,0.1349,0.9556,8.8416,100
9,0.8222,0.5776,0.9783,0.8669,0.7304,0.112,0.9329,22.7426,100
10,0.8631,0.6586,0.9998,0.7723,0.7703,0.4774,0.931,24.3069,100
11,0.8451,0.6893,0.9785,0.8671,0.686,0.1119,0.9109,24.2871,100
12,0.863,0.6585,0.9775,0.7493,0.8387,0.6365,0.9539,29.9307,100
13,0.8861,0.6814,0.9777,0.7494,0.7924,0.7293,0.9312,30.901,100
14,0.906,0.6969,0.9996,0.8831,0.6933,0.8379,0.9061,30.5446,100
15,0.9498,0.6493,0.975,0.7752,0.8242,0.8006,0.1747,49.3762,100
16,0.8832,0.7203,0.9771,0.7665,0.7403,0.793,0.9063,33.0396,100
17,0.9065,0.6971,0.9765,0.7433,0.7641,0.8384,0.9061,37.8317,100
18,0.8597,0.6968,0.9768,0.7663,0.764,0.8152,0.9061,35.3168,100
19,0.9293,0.7434,0.9998,0.7662,0.7634,0.8384,0.929,33.297,100
20,0.9498,0.6493,0.9502,0.7752,0.8242,0.8006,0.1747,49.3762,100
21,0.9713,0.6854,1.0,0.657,0.7988,0.2867,0.2,53.4554,100
22,0.8973,0.6926,0.9745,0.7693,0.8182,0.7952,0.1793,46.1089,100
23,0.9471,0.6574,0.9737,0.7368,0.7884,0.3433,0.1841,50.901,100
24,0.8597,0.6968,0.9768,0.7664,0.7872,0.8152,0.9063,35.1782,100
25,0.8827,0.7202,0.9998,0.7663,0.7634,0.8383,0.929,33.495,100
26,0.8407,0.6814,0.9777,0.7494,0.7924,0.7294,0.9312,30.901,100
27,0.8408,0.7271,0.9998,0.7723,0.8155,0.7973,0.9311,29.0,100
28,0.8182,0.6819,0.9776,0.7497,0.7698,0.7299,0.9312,27.6931,100
29,0.8631,0.6585,0.9999,0.7725,0.7475,0.4999,0.9312,23.6733,100
30,0.7778,0.5777,0.9783,0.8669,0.7306,0.1121,0.9329,21.1584,100
31,0.7948,0.6585,1.0,0.7726,0.7935,0.5229,0.9539,18.6832,100
32,0.8403,0.6812,0.9775,0.7725,0.7933,0.5682,0.9312,22.8614,100
33,0.7953,0.7501,0.9998,0.8633,0.8386,0.7977,0.9313,31.2772,100
34,0.8631,0.7038,0.9776,0.7492,0.7923,0.7519,0.9312,31.099,100
35,0.8402,0.6586,0.9776,0.7492,0.7472,0.6588,0.9537,26.8812,100
36,0.8859,0.6813,0.9999,0.7723,0.77,0.6589,0.931,27.8119,100
37,0.8864,0.7044,0.9778,0.7497,0.8159,0.7748,0.8863,34.505,100
38,0.9221,0.6663,0.9742,0.7685,0.6882,0.7699,0.1789,40.3663,100
39,0.8917,0.703,1.0,0.7837,0.727,0.7573,0.189,47.7327,100
40,0.8852,0.6859,0.9714,0.6278,0.654,0.7723,0.1999,43.4554,100
41,0.8852,0.6859,0.9714,0.6278,0.5398,0.7723,0.1999,43.4554,100
42,0.8886,0.6669,0.9998,0.61,0.6357,0.8338,0.1942,43.8911,100
43,0.8607,0.667,0.9722,0.61,0.6359,0.7786,0.1942,43.495,100
44,0.8681,0.6582,0.9737,0.6047,0.7074,0.7899,0.1838,44.3465,100
45,0.8607,0.667,0.9722,0.61,0.6359,0.8062,0.1942,43.495,100
46,0.8973,0.6926,0.9745,0.7693,0.8182,0.7952,0.1793,46.1089,100
47,0.8743,0.6747,0.9999,0.7745,0.7969,0.8003,0.1744,42.2475,100
48,0.8744,0.6748,0.9501,0.7746,0.7969,0.7506,0.1745,42.3861,100
49,0.95,0.7002,0.9999,0.7497,0.7727,0.8501,0.1747,45.7327,100
50,0.8744,0.6748,1.0,0.7746,0.8223,0.8252,0.1745,42.2475,100
51,0.9267,0.707,0.9996,0.7798,0.7771,0.8299,0.2187,40.3465,100
52,0.8594,0.7432,0.9995,0.7665,0.834,0.8615,0.9295,36.8614,100
53,0.8714,0.6925,0.9743,0.769,0.7664,0.7953,0.179,44.3861,100
54,0.8711,0.6922,0.9743,0.7687,0.7661,0.7699,0.179,43.4158,100
55,0.8711,0.6922,0.9743,0.7687,0.7661,0.7699,0.179,43.4158,100
56,0.8648,0.703,0.9731,0.7565,0.6999,0.6495,0.189,47.1386,100
57,0.8852,0.6859,0.9997,0.6278,0.6253,0.8007,0.1997,43.4554,100
58,0.8607,0.6669,0.9721,0.61,0.6635,0.8062,0.1942,43.495,100
59,0.8641,0.6759,0.9729,0.6209,0.6726,0.7304,0.1888,44.3465,100
60,0.8887,0.667,0.9998,0.61,0.6359,0.8338,0.1942,43.8911,100
