,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.9999,0.9999,1.0,1.0,0.6656,0.5002,1.0,17.2368,75
1,0.9987,0.9987,1.0,0.9984,0.725,0.5447,0.9984,22.4211,75
2,1.0,1.0,1.0,1.0,0.6656,0.4172,1.0,13.1842,75
3,0.9999,0.9999,1.0,0.9999,0.666,0.5009,0.9999,10.4211,75
4,0.9997,0.9997,1.0,0.9997,0.6676,0.5019,0.9997,4.5789,75
5,0.9999,0.9999,1.0,0.9999,0.666,0.584,0.9999,8.3947,75
6,1.0,1.0,1.0,1.0,0.6664,0.5012,1.0,8.1579,75
7,0.999,0.9084,1.0,0.9993,0.5448,0.4556,0.9993,16.0526,75
8,0.9999,0.9999,1.0,0.9999,0.666,0.584,0.9999,8.3947,75
9,0.9983,0.9983,1.0,0.9983,0.7227,0.4528,0.9983,28.2632,75
10,0.9983,0.9983,1.0,0.9983,0.7235,0.456,0.9983,27.3421,75
11,0.9979,0.9979,1.0,0.9988,0.6323,0.4528,0.9988,28.5,75
12,0.9982,0.9982,1.0,0.9979,0.7232,0.5474,0.9979,30.3947,75
13,0.999,0.999,1.0,0.998,0.6326,0.5477,0.998,32.6053,75
14,0.9985,0.8993,1.0,0.9985,0.4958,0.602,0.9985,29.5526,75
15,0.9996,0.9996,1.0,0.9995,0.7977,0.7004,0.9995,39.2632,75
16,0.9975,0.9975,1.0,0.9975,0.6949,0.6029,0.9975,31.6579,75
17,0.9975,0.9975,1.0,0.9975,0.6949,0.6032,0.9975,34.6053,75
18,0.9975,0.9975,1.0,0.9975,0.6949,0.7026,0.9975,34.2632,75
19,0.9976,0.9976,1.0,0.9976,0.6949,0.7025,0.9976,33.7895,75
20,0.9996,0.9996,1.0,0.9996,0.6984,0.7005,0.9996,39.2632,75
21,0.9996,0.9996,1.0,0.9996,0.7747,0.6674,0.9996,40.5526,75
22,0.9987,0.9987,1.0,0.9969,0.6624,0.7784,0.9969,37.9474,75
23,1.0,1.0,1.0,1.0,0.6986,0.6014,1.0,39.2632,75
24,0.9975,0.9975,1.0,0.9975,0.6949,0.7025,0.9975,33.9474,75
25,0.9976,0.9976,1.0,0.9976,0.6949,0.7025,0.9976,33.7895,75
26,0.999,0.999,1.0,0.998,0.6326,0.5477,0.998,32.6053,75
27,0.9983,0.9983,1.0,0.9975,0.7234,0.4561,0.9975,30.3421,75
28,0.9991,0.9991,1.0,0.9991,0.6327,0.3655,0.9991,29.0,75
29,0.9984,0.9984,1.0,0.9984,0.7236,0.456,0.9984,25.2105,75
30,0.9984,0.9984,1.0,0.9984,0.6326,0.4531,0.9984,24.5526,75
31,0.9982,0.9982,1.0,0.9982,0.7238,0.4558,0.9982,22.1316,75
