,index,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var
0,0,0.8490208333333333,0.728,0.9540000000000001,0.06275658274265919,0.0039383886775362295,0.6818,0.5268,0.7736,0.07737535277716866,0.0059869452173913025,0.8701333333333334,0.5885,0.9545,0.09359714166328077,0.008760424927536248,0.8378749999999999,0.7583,0.9498,0.056896345492788734,0.003237194130434781,0.49893750000000003,0.1676,0.9055,0.25213751736511464,0.06357332766304348,0.7877250000000001,0.2009,0.9545,0.2959030441238129,0.08755861152173916,0.9854458333333334,0.9443,1.0,0.022903635161763913,0.0005245765036231883
1,1,0.8350541666666667,0.6882,0.9541,0.0803695052441435,0.006459257373188409,0.6609999999999999,0.5259,0.7619,0.07599382698042279,0.005775061739130434,0.9097291666666667,0.7896,0.9999,0.0673585957147762,0.004537180416666667,0.7632500000000001,0.5871,0.8615,0.0767132719088198,0.00588492608695652,0.6300250000000001,0.2732,0.8103,0.17011231647764752,0.028938200217391307,0.8303458333333334,0.2641,0.9543,0.23551944068039435,0.055469406938405796,0.9816166666666667,0.9416,1.0001,0.024150860398151737,0.0005832640579710138
2,2,0.8409375,0.6882,0.9541,0.0632354661940798,0.00399872418478261,0.5969000000000001,0.5302,0.6809999999999999,0.027968880221946046,0.0007822582608695646,0.8700416666666667,0.8179,0.9999,0.05652126122986368,0.003194652971014491,0.7422083333333332,0.6101,0.8984,0.0854362560075037,0.007299353840579711,0.7271375000000001,0.3346,0.8647,0.13463415747385818,0.018126356358695642,0.5004791666666667,0.2499,0.9446,0.2645133759733912,0.0699673260688406,0.9801333333333333,0.9416,1.0,0.02611958563268548,0.0006822327536231899
3,3,0.7668041666666666,0.6668,0.9545,0.07566036512897141,0.0057244908514492735,0.5636666666666666,0.501,0.6833,0.0409941742061062,0.0016805223188405833,0.8694749999999999,0.5885,0.9998,0.10601013999900533,0.011238149782608708,0.8201916666666665,0.5816,1.0,0.12818024644893666,0.016430175579710143,0.4944583333333334,0.1774,0.909,0.23077244187193635,0.05325591992753624,0.6178374999999999,0.2358,0.9413,0.3096398438192907,0.09587683288043473,0.9769833333333335,0.8354,1.0,0.04157174695544485,0.0017282101449275378
4,4,0.8126666666666665,0.6467,0.9497,0.08675526129474131,0.007526475362318839,0.6844999999999999,0.5555,0.8987,0.08204121975647628,0.006730761739130434,0.9440208333333332,0.8334,0.9999,0.04429241744083994,0.0019618182427536225,0.7819791666666668,0.5732,1.0,0.14133643789743766,0.019975988677536253,0.6757875000000001,0.4448,0.9997,0.14459381582933262,0.02090737157608696,0.9047249999999999,0.8086,0.9998,0.04849425111602766,0.00235169239130435,0.988775,0.9409,1.0,0.02213724483072933,0.0004900576086956525
5,5,0.9196750000000004,0.8637,0.9585,0.026524185026204843,0.0007035323913043492,0.8195833333333334,0.7272,0.8701,0.046238010588566685,0.002137953623188405,0.9454791666666669,0.9123,0.9583,0.017297171901704083,0.0002991921557971013,0.8506999999999999,0.7726,0.956,0.04680456127902217,0.002190666956521741,0.6404541666666668,0.4556,0.8193,0.10031240323486235,0.010062578242753622,0.8808041666666667,0.7818,0.9529,0.03881246414733809,0.0015064073731884048,0.9852791666666669,0.9546,0.9999,0.020610212309660373,0.000424780851449276
6,6,0.8356333333333335,0.7723,0.9545,0.051470554407491036,0.0026492179710144947,0.7448041666666668,0.6815,0.9545,0.059873260919949954,0.0035848073731884066,0.9524250000000003,0.9128,0.9545,0.0084436366572704,7.129500000000048e-05,0.7847666666666666,0.6801,0.9536,0.058287694776160415,0.003397455362318838,0.49897916666666653,0.1835,0.7291,0.15741822992372526,0.024780499112318832,0.9372666666666668,0.8632,0.9545,0.02888560144803103,0.0008343779710144922,0.9868500000000001,0.9548,1.0,0.02072150741536962,0.00042938086956521816
7,7,0.8621958333333334,0.7723,0.9558,0.062327343982966396,0.0038846978079710172,0.7325416666666666,0.5924,0.9545,0.08030266613510288,0.006448518188405799,0.9490750000000001,0.9123,0.9545,0.014123284813139042,0.0001994671739130439,0.774925,0.682,0.9128,0.0599803971600577,0.003597648043478258,0.4659125000000001,0.2733,0.6976,0.1623951335544693,0.02637217940217392,0.9379083333333335,0.8255,0.9545,0.033273594657765415,0.0011071321014492752,0.9963291666666666,0.9566,1.0,0.01216018017481887,0.0001478699818840579
8,8,0.8578541666666668,0.7729,0.9545,0.055397825880794636,0.00306891911231884,0.7609750000000001,0.6363,0.9545,0.09097589384485079,0.008276613260869559,0.9465374999999998,0.8177,0.9545,0.02926220016840248,0.0008562763586956541,0.7738916666666666,0.6822,0.9041,0.05674195531309812,0.003219649492753624,0.48497916666666674,0.2278,0.6827,0.15636673720335534,0.02445055650362319,0.9465291666666666,0.863,0.9545,0.022371750027107038,0.0005004951992753638,0.9960083333333335,0.9520000000000001,1.0,0.013130645093814307,0.00017241384057970974
9,9,0.7979416666666664,0.6435,0.9538,0.07494766821599247,0.005617152971014489,0.5532166666666667,0.5007,0.6808,0.0396094813711661,0.001568911014492754,0.8318416666666665,0.5337,0.997,0.08684001239994837,0.007541187753623187,0.7607375,0.6138,0.9995,0.10056022989709461,0.010112359836956521,0.4406708333333334,0.1885,0.8645,0.2470513473809718,0.0610343682427536,0.4574083333333334,0.2006,0.9978,0.269784794937947,0.07278383557971012,0.9752083333333333,0.9283,1.0,0.03060562489743214,0.0009367042753623181
