,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.8667,0.6668,0.9668,0.9,0.7657,0.4007,0.9,5.7451,50
1,0.8668,0.7003,0.967,0.9333,0.7654,0.3678,0.8999,7.5882,50
2,0.8011,0.5677,0.9671,0.9334,0.7993,0.3347,0.9,6.5686,50
3,0.8624,0.621,1.0,0.931,0.8272,0.3454,0.931,4.2157,50
4,0.7937,0.7247,0.9996,0.93,0.8619,0.5193,0.93,9.2745,50
5,0.829,0.5877,1.0,0.9304,0.8264,0.3122,0.9304,4.7255,50
6,0.8626,0.5524,0.9651,0.9305,0.8271,0.3456,0.9305,4.8824,50
7,0.9299,0.7236,0.9997,0.9647,0.8942,0.863,0.8951,11.1569,50
8,0.829,0.5877,1.0,0.9304,0.8264,0.3122,0.9304,4.7255,50
9,0.8612,0.5856,0.9654,0.8612,0.8947,0.4146,0.8953,15.7451,50
10,0.828,0.6561,0.966,0.8959,0.8946,0.621,0.8962,12.4902,50
11,0.9307,0.655,0.9994,0.8608,0.8947,0.4145,0.8955,17.3922,50
12,0.8996,0.6667,0.9663,0.8991,0.8653,0.334,0.899,18.098,50
13,0.9333,0.6331,0.9666,0.8664,0.8659,0.7004,0.8665,19.7451,50
14,0.8961,0.5861,0.9651,0.8267,0.8611,0.7589,0.896,20.3725,50
15,0.9092,0.5917,0.9999,0.9542,0.9542,0.274,0.2735,27.0392,50
16,0.9306,0.6549,0.9654,0.8269,0.8261,0.6554,0.8959,19.3922,50
17,0.7844,0.5355,0.9998,0.9283,0.8559,0.9285,0.9285,19.7843,50
18,0.8961,0.5859,0.9654,0.9309,0.8264,0.6899,0.8963,19.9412,50
19,0.8996,0.5998,0.9666,0.9,0.8323,0.7004,0.8331,19.902,50
20,0.9092,0.5917,1.0,0.9543,0.9087,0.2741,0.2735,27.0392,50
21,0.8502,0.6007,0.9499,0.9496,0.8996,0.401,0.3006,29.2745,50
22,1.0,0.5462,0.9544,0.954,0.8629,0.3647,0.3191,26.2549,50
23,0.95,0.6505,0.95,0.9497,0.8995,0.2511,0.3008,28.8039,50
24,0.8996,0.5998,0.9665,0.8998,0.7988,0.6669,0.8666,19.4314,50
25,0.8996,0.5998,0.9665,0.8999,0.8323,0.7336,0.8331,19.902,50
26,0.9333,0.6331,0.9666,0.8664,0.8659,0.7004,0.8666,19.7451,50
27,0.9308,0.6896,0.9651,0.8953,0.8594,0.5514,0.8952,14.2941,50
28,0.8266,0.6207,0.9657,0.8953,0.8947,0.5511,0.8958,16.2157,50
29,0.8281,0.6561,0.966,0.8958,0.8946,0.6211,0.896,12.4902,50
30,0.9648,0.6201,0.9651,0.8608,0.929,0.795,0.8953,14.0588,50
31,0.8622,0.6554,0.9658,0.8958,0.9288,0.6216,0.8957,11.6667,50
32,0.8621,0.6211,0.9657,0.8956,0.9292,0.5864,0.9302,12.9608,50
33,0.8998,0.6332,0.9662,0.8995,0.9326,0.2675,0.8661,21.4706,50
34,0.9333,0.6331,0.9666,0.8664,0.8993,0.7004,0.8666,19.6667,50
35,0.9331,0.6333,0.933,0.8996,0.8651,0.3673,0.8661,16.5686,50
36,0.931,0.6551,0.9651,0.8957,0.8947,0.5862,0.8956,14.1765,50
37,0.9002,0.6,0.9665,0.8998,0.8998,0.7007,0.8665,22.8039,50
38,0.8392,0.4802,0.9602,0.9201,0.8389,0.84,0.3604,20.7255,50
39,0.9544,0.5461,0.9542,0.9539,0.8628,0.3647,0.3191,25.902,50
40,0.8101,0.525,0.9999,0.9523,0.8083,0.7626,0.8568,22.8824,50
41,0.81,0.525,1.0,0.9997,0.7129,0.6196,0.8568,23.3529,50
42,0.8635,0.5463,1.0,0.9544,0.7256,0.7277,0.9087,22.2941,50
43,0.8099,0.5725,0.9999,0.9997,0.7129,0.6196,0.9043,23.3529,50
44,0.8258,0.5222,0.9568,0.9564,0.825,0.6961,0.8693,22.6863,50
45,0.7735,0.5467,0.9549,0.9546,0.6807,0.5917,0.8635,23.3529,50
46,1.0,0.5462,0.9544,0.954,0.8629,0.3647,0.3191,26.2549,50
47,1.0,0.5606,0.9601,0.9599,0.9191,0.8798,0.3605,21.4314,50
48,0.8393,0.5204,0.9601,0.9197,0.879,0.8797,0.3605,21.5098,50
49,0.8749,0.584,1.0,0.9577,0.916,0.5014,0.2918,25.7059,50
50,0.962,0.5393,0.9237,0.9234,0.8842,0.8463,0.3463,21.8235,50
51,0.8139,0.5185,0.9998,0.9256,0.8878,0.926,0.333,21.3922,50
52,0.9002,0.6,0.9665,0.8998,0.8998,0.6343,0.8329,22.8824,50
53,0.8325,0.5418,0.9581,0.9163,0.874,0.7085,0.3753,21.8627,50
54,0.8325,0.5418,0.9581,0.9163,0.874,0.7085,0.3753,21.8627,50
55,0.8325,0.5418,0.9581,0.9163,0.874,0.7085,0.3753,21.8627,50
56,0.8096,0.5248,0.9997,0.9995,0.9039,0.3821,0.3343,26.098,50
57,0.81,0.525,0.9999,0.9997,0.7129,0.6196,0.8568,23.3529,50
58,0.8642,0.5467,0.955,0.9546,0.7261,0.5917,0.8635,23.3529,50
59,0.8262,0.5227,0.9568,0.9132,0.7813,0.6963,0.9132,22.2941,50
60,0.8635,0.5462,1.0,0.9544,0.7255,0.7277,0.9087,22.2941,50
61,0.8691,0.5656,0.9567,0.9564,0.825,0.6961,0.5219,22.6863,50
62,0.8332,0.5423,0.9586,0.875,0.8745,0.6674,0.3756,22.6863,50
63,0.9091,0.5915,0.9543,0.9538,0.8627,0.3648,0.3187,26.9216,50
64,0.962,0.5393,0.9237,0.9234,0.8842,0.8463,0.3463,21.8235,50
