,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.9999,0.9999,1.0,0.9999,0.8741,0.5012,0.9999,8.7692,25
1,0.9997,0.9997,1.0,0.9997,0.8739,0.5011,0.9997,10.0,25
2,0.9999,0.9999,1.0,0.9999,0.8743,0.5014,0.9999,8.4615,25
3,1.0,1.0,1.0,1.0,0.8747,0.1267,1.0,6.7692,25
4,0.9994,0.9994,1.0,0.9994,0.7505,0.6271,0.9994,2.8462,25
5,0.9999,0.9999,1.0,0.9999,0.7496,0.1268,0.9999,6.3077,25
6,1.0,1.0,1.0,1.0,0.7499,0.1268,1.0,6.3846,25
7,0.9972,0.9972,1.0,0.9979,0.855,0.8578,0.9979,6.1538,25
8,0.9999,0.9999,1.0,0.9999,0.7496,0.1268,0.9999,6.3077,25
9,0.9999,0.8737,1.0,0.9999,0.8726,0.1262,0.9999,11.4615,25
10,1.0,1.0,1.0,1.0,0.8752,0.3783,1.0,10.6923,25
11,0.874,0.874,1.0,1.0,0.8725,0.1262,1.0,11.6923,25
12,0.9999,0.9999,1.0,0.9999,1.0,0.6261,0.9999,13.0769,25
13,0.9988,0.9988,1.0,0.9988,1.0,0.628,0.9988,13.4615,25
14,1.0,0.8744,1.0,1.0,0.7483,0.1261,1.0,11.3077,25
15,1.0,1.0,1.0,1.0,1.0,0.1439,1.0,16.0,25
16,1.0,0.8741,1.0,0.874,0.8751,0.7523,0.874,13.6154,25
17,0.9991,0.9991,1.0,0.9979,0.9991,0.8576,0.9979,13.7692,25
18,0.9999,0.9999,1.0,0.9999,0.8752,0.877,0.9999,13.7692,25
19,1.0,1.0,1.0,1.0,0.8753,0.7523,1.0,13.7692,25
20,1.0,1.0,1.0,1.0,1.0,0.1439,1.0,16.0,25
21,1.0,1.0,1.0,0.1435,1.0,0.1438,0.1435,16.0,25
22,0.9997,0.8561,1.0,0.1438,0.9999,0.8574,0.1438,14.4615,25
23,1.0,1.0,1.0,0.1435,1.0,0.1438,0.1435,16.0,25
