,index,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var
0,0,0.8302999999999999,0.7313,0.9542,0.06535618130508093,0.004271430434782611,0.6789583333333336,0.5394,0.7998,0.07508083132121049,0.005637131231884062,0.8391333333333332,0.5244,0.9987,0.120014229832628,0.014403415362318855,0.7130958333333332,0.6142,0.7876,0.054062286775989045,0.0029227308514492797,0.5794416666666667,0.1554,0.8355,0.21097383500797207,0.04450995905797102,0.7610124999999998,0.182,0.9615,0.33839517715817563,0.11451129592391308,0.9885666666666665,0.9594,1.0001,0.018014116847547668,0.0003245084057971007
1,1,0.8333875000000001,0.7204,0.9165,0.04964695631898424,0.0024648202717391294,0.7277291666666666,0.5603,0.8106,0.06495377272014084,0.004218992590579712,0.6892041666666667,0.4996,0.9595,0.1452868182152168,0.021108259547101455,0.7066666666666669,0.6293,0.7599,0.046437116589011486,0.0021564057971014457,0.6891041666666666,0.4394,0.8654,0.11490213786623768,0.01320250128623189,0.6344791666666667,0.1815,0.9588,0.3770198887374818,0.14214399650362317,0.9938333333333332,0.9477,1.0001,0.0164184060727896,0.0002695640579710144
2,2,0.8721916666666666,0.79,0.9559,0.04702923158194701,0.0022117486231884023,0.7731833333333334,0.7081,0.8106,0.026154585044320264,0.0006840623188405813,0.5758375,0.4783,0.8181,0.12145747086227701,0.014751917228260868,0.7208833333333334,0.679,0.7599,0.023580309889667552,0.0005560310144927534,0.7141958333333333,0.6198,0.8269,0.0663857795089769,0.004407071721014496,0.21596666666666667,0.1734,0.9141,0.149189930499075,0.02225763536231883,0.9864666666666667,0.9478,1.0,0.021434057958765303,0.00045941884057971023
3,3,0.8139125000000001,0.6834,0.9461,0.08414148184689467,0.007079788967391304,0.7190166666666667,0.5779,0.8562,0.07868277899353149,0.0061909797101449195,0.695075,0.4999,0.9583,0.18578341351996533,0.034515476739130434,0.7087166666666667,0.5984,0.8747,0.0646726114106015,0.004182546666666664,0.6327541666666666,0.2389,0.8752,0.16679118936997023,0.027819300851449274,0.48527499999999996,0.1906,0.9472,0.34768307188912845,0.12088351847826086,0.9721583333333333,0.938,1.0,0.026039116338888012,0.0006780355797101446
4,4,0.8709791666666667,0.6833,0.9522,0.07396395702236187,0.005470666938405794,0.6992916666666668,0.6242,0.8521,0.06597859281725339,0.004353174710144921,0.9340583333333332,0.7391,0.9997,0.050031606676846425,0.0025031616666666636,0.7483291666666667,0.5439,0.8702,0.09799331600616464,0.009602689981884042,0.69055,0.2638,0.8711,0.1303652427671545,0.016995096521739125,0.8977083333333334,0.8459,0.9574,0.03505423024359563,0.0012287990579710143,0.9746125000000001,0.9449,1.0,0.023594570349976654,0.0005567037499999974
5,5,0.8833208333333333,0.8069,0.963,0.04458490658202097,0.0019878138949275363,0.7797666666666667,0.741,0.8149,0.022664810239408716,0.0005136936231884061,0.9746458333333332,0.96,0.9997,0.01775372536941908,0.0003151947644927546,0.7684708333333332,0.654,0.852,0.054792997641849334,0.003002272590579707,0.6820624999999999,0.5015,0.8152,0.08903465769990432,0.00792717027173913,0.9079833333333333,0.8515,0.9616,0.030121430572105066,0.0009073005797101457,0.9984125000000001,0.9638,1.0,0.007373059803742645,5.436201086956553e-05
6,6,0.8173124999999999,0.7204,0.9616,0.06334940590298276,0.004013147228260866,0.6711166666666667,0.5392,0.9616,0.1016642541885305,0.010335620579710141,0.8936625000000001,0.7594,0.9616,0.08767943000300685,0.007687682445652177,0.7008208333333333,0.5773,0.7572,0.05410833721153422,0.002927712155797099,0.5493583333333333,0.1167,0.7325,0.14134276228118425,0.01997777644927536,0.9532541666666666,0.9194,0.9616,0.014388642234843398,0.0002070330253623192,0.9920708333333333,0.9617,1.0,0.015779085749860484,0.00024897954710145016
7,7,0.8217833333333333,0.6925,0.9616,0.0793180645396674,0.0062913553623188435,0.6963791666666664,0.5397,0.9616,0.10448137333127092,0.01091635737318841,0.9597666666666668,0.9259,0.9628,0.0072476482942469824,5.25284057971012e-05,0.6529625,0.5772,0.7776,0.054515756098979996,0.002971967663043475,0.4762416666666667,0.1168,0.8525,0.2238141055442657,0.05009275384057971,0.9549291666666665,0.9194,0.9616,0.014465776077909965,0.00020925867753623218,0.9824791666666668,0.9617,1.0,0.019355349314890934,0.00037462954710144896
8,8,0.8180416666666668,0.6403,0.9616,0.09047733762212729,0.00818614862318841,0.700475,0.5394,0.9616,0.11488022212192409,0.013197465434782616,0.9363000000000005,0.7594,0.963,0.06394896742546054,0.004089470434782613,0.6519,0.5771,0.8073,0.055861256699075414,0.003120479999999998,0.4547749999999999,0.1167,0.7059,0.1979638773593062,0.039189696739130434,0.951516666666667,0.8842,0.9616,0.023086805316243863,0.0005330005797101459,0.9809541666666667,0.9617,1.0,0.01938055904355133,0.00037560606884057924
9,9,0.85785,0.8001,0.9564,0.046468287456398,0.0021593017391304354,0.7613375000000001,0.682,0.8119,0.03690978204852425,0.0013623320108695628,0.5789166666666666,0.4998,0.7822,0.09274075913964204,0.008600848405797099,0.6832833333333334,0.6289,0.7712,0.03960265325615861,0.00156837014492753,0.6874833333333333,0.5564,0.8759999999999999,0.07447735965680626,0.005546877101449272,0.24685416666666668,0.1734,0.9573,0.15407364128365955,0.0237386869384058,0.9804833333333334,0.9385,1.0,0.02552643415324024,0.0006515988405797099
