,index,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var
0,0,0.8867250000000001,0.7019,1.0,0.12030919676436606,0.014474302826086949,0.8151666666666668,0.6022,1.0,0.13553540742797307,0.018369846666666655,0.8771083333333335,0.7011,1.0,0.12283542866873501,0.015088542536231887,0.9385541666666669,0.7991,1.0,0.06064360591526361,0.003677646938405796,0.3838041666666667,0.2521,0.7502,0.15214638968745706,0.023148523894927536,0.7113625,0.3522,1.0,0.22386308861813772,0.05011468244565218,0.9804,0.9375,1.0,0.02579988203545664,0.0006656339130434783
1,1,0.9108750000000002,0.7212,1.0,0.10518343914117476,0.011063555869565214,0.8531375,0.6655,0.9329,0.10308501266894485,0.010626519836956519,0.9181833333333337,0.7215,0.9998,0.10791758798778565,0.01164620579710146,0.9135375,0.7991,1.0,0.04568143769628973,0.002086793750000001,0.38654166666666656,0.2649,0.7502,0.12559813733272193,0.01577489210144928,0.6239291666666668,0.4176,1.0,0.21935189413393477,0.048115253460144926,0.9712874999999999,0.8888,1.0,0.043697948539053136,0.001909510706521736
2,2,0.9962625000000003,0.9161,1.0,0.01707509787354977,0.000291558967391304,0.9272833333333335,0.9159,1.0,0.028252105218467546,0.0007981814492753611,0.9995458333333338,0.9993,0.9997,0.0001141287094417965,1.302536231885001e-08,0.9194291666666669,0.9157,0.9991,0.016970344444934213,0.00028799259057970953,0.41534166666666655,0.3355,0.419,0.017006313831778096,0.00028921471014492695,0.4397416666666667,0.4171,0.5319,0.039441921161722536,0.0015556651449275362,0.9972208333333333,0.9333,1.0,0.013615080486969841,0.00018537041666666693
3,3,0.9563708333333335,0.8182,1.0,0.06804544184438142,0.004630182155797095,0.9010708333333333,0.7276,1.0,0.09757098855690154,0.00952009780797101,0.9914499999999999,0.9092,1.0,0.025354563948991084,0.0006428539130434783,0.8923875000000003,0.7264,0.9995,0.09738510426450589,0.009483858532608684,0.6053499999999999,0.386,0.9989,0.2631268713658539,0.06923575043478263,0.6182166666666665,0.4176,0.9989,0.2691985846378366,0.07246787797101448,0.9999791666666668,0.9998,1.0,5.089773777039277e-05,2.5905797101436665e-09
4,4,0.9922375,0.9051,1.0,0.026258825638498018,0.0006895259239130409,0.9442958333333334,0.8101,1.0,0.06862680728065555,0.004709638677536238,0.9914708333333334,0.904,1.0,0.026287531829940675,0.000691034329710144,0.8731958333333333,0.7264,0.9991,0.10187361513240277,0.010378233460144923,0.8205,0.6482,0.9991,0.1430644488394623,0.020467436521739123,0.9181,0.5449,0.9989,0.10860901956299385,0.01179591913043478,0.9891166666666665,0.9049,1.0,0.026001833826075408,0.0006760953623188394
5,5,0.9537374999999999,0.8702,0.9999,0.03694513926374336,0.0013649433152173914,0.8264374999999998,0.6666,0.9998,0.07471446407024782,0.005582251141304351,0.9616083333333335,0.9033,1.0,0.031177889554962663,0.00097206079710145,0.908575,0.6948,1.0,0.0741721396775624,0.005501506304347826,0.8327249999999999,0.6679999999999999,0.9475,0.07434982675924968,0.00552789673913044,0.8562458333333333,0.6516,0.9513,0.07907992643201402,0.006253634764492749,0.9801791666666667,0.9131,1.0,0.027086993175237477,0.0007337051992753616
6,6,0.8148833333333331,0.7018,1.0,0.09290888789171549,0.008632061449275358,0.7242791666666667,0.6004,0.9498,0.08707333230832136,0.007581765199275361,0.8082916666666665,0.7001,1.0,0.0963431138157271,0.009281995579710146,0.9318749999999998,0.8814,1.0,0.03856465209624412,0.0014872323913043464,0.43515833333333326,0.252,0.9502,0.29014018338467484,0.08418132601449275,0.8980166666666669,0.8088,0.9491,0.04368089490509718,0.0019080205797101452,0.9712458333333335,0.8887,1.0,0.035493134414696446,0.001259762590579709
7,7,0.8231166666666665,0.6517,1.0,0.12599619271910617,0.01587504057971014,0.7350666666666665,0.6016,0.9498,0.11742381680742281,0.01378835275362319,0.8439999999999999,0.7016,1.0,0.12990152792219858,0.016874406956521742,0.9278083333333335,0.8498,1.0,0.041618755352622556,0.0017321207971014486,0.5783333333333333,0.2518,0.9503,0.30584870750758125,0.09354343188405798,0.8950791666666666,0.7998,0.9485,0.04461002011799072,0.001990053894927537,0.9750291666666665,0.95,1.0,0.025277941563943595,0.0006389743297101471
8,8,0.8019,0.6516,0.9999,0.12048719939226456,0.014517165217391315,0.75165,0.5789,0.9999,0.1334317509962042,0.017804032173913038,0.8163624999999999,0.7015,0.9999,0.1118397254323463,0.012508124184782607,0.9322083333333331,0.8998,0.9998,0.031058835005261506,0.0009646512318840575,0.5122416666666667,0.2516,0.95,0.3124140270144129,0.09760252427536233,0.8933999999999999,0.85,0.9999,0.04115101562484844,0.0016934060869565205,0.968308333333333,0.8888,1.0,0.02999295448668868,0.0008995773188405787
9,9,0.9370875000000001,0.8333,1.0,0.06620317418175001,0.00438286027173913,0.8332791666666663,0.6672,1.0,0.11018375158034345,0.01214045911231884,0.9822791666666669,0.9166,0.9997,0.0343546715912833,0.0011802434601449281,0.9270708333333334,0.8454,0.9996,0.036034892259377276,0.001298513460144928,0.41863749999999983,0.3354,0.456,0.022945413721908905,0.0005264920108695655,0.4334416666666667,0.4176,0.5454,0.03230572592492281,0.00104365992753623,0.9971958333333334,0.9333,1.0,0.013609858292929551,0.00018522824275362328
