,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.8634,0.7722,1.0,0.9543,0.7716,0.3642,0.9543,5.7451,50
1,0.8633,0.7723,0.9999,0.9542,0.7712,0.2736,0.9542,7.5882,50
2,0.9094,0.682,1.0,0.9545,0.7719,0.2741,0.9545,6.5686,50
3,0.818,0.727,1.0,0.9545,0.8178,0.3187,0.9545,4.2157,50
4,0.7736,0.7736,0.9999,0.9542,0.8642,0.5479,0.9542,9.2745,50
5,0.7738,0.683,1.0,0.9544,0.8175,0.5475,0.9544,4.7255,50
6,0.8188,0.6369,1.0,0.9545,0.818,0.274,0.9545,4.8824,50
7,0.954,0.7726,0.9999,0.9543,0.9087,0.6843,0.9089,11.1569,50
8,0.7738,0.683,1.0,0.9544,0.8175,0.5475,0.9544,4.7255,50
9,0.8638,0.6818,0.9552,0.9543,0.9072,0.3644,0.9083,15.7451,50
10,0.728,0.728,0.955,0.9543,0.7704,0.6399,0.9543,12.4902,50
11,0.9519,0.7135,0.9995,0.8084,0.9011,0.429,0.9505,17.3922,50
12,0.8636,0.7726,0.9994,0.8177,0.8157,0.5457,0.9541,18.098,50
13,0.903,0.713,0.9994,0.8561,0.8538,0.8102,0.9511,19.7451,50
14,0.9043,0.6186,1.0,0.7614,0.8067,0.9055,0.9043,20.3725,50
15,0.8003,0.5507,0.9502,0.8002,0.9498,0.2013,0.2009,27.0392,50
16,0.9041,0.7609,0.9523,0.8088,0.8063,0.8581,0.9035,19.3922,50
17,0.8076,0.6181,0.9996,0.8085,0.7583,0.8101,0.9038,19.7843,50
18,0.904,0.7128,0.9996,0.8562,0.8061,0.9049,0.9034,19.9412,50
19,0.904,0.7129,0.9994,0.8564,0.8056,0.8102,0.9036,19.902,50
20,0.8003,0.5507,0.9502,0.8002,0.8997,0.2013,0.2009,27.0392,50
21,0.7649,0.5887,0.9996,0.5885,0.9406,0.1774,0.2358,29.2745,50
22,0.8952,0.5268,0.9473,0.7896,0.8408,0.3171,0.2641,26.2549,50
23,0.8334,0.6115,0.9443,0.8333,0.8885,0.1676,0.2229,28.8039,50
