,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.9994,0.9994,1.0,0.9994,0.6463,0.5884,0.9994,19.099,100
1,0.9981,0.9981,1.0,0.9981,0.686,0.3754,0.9981,20.2475,100
2,0.9995,0.9995,1.0,0.9995,0.5877,0.2359,0.9993,17.9307,100
3,0.9995,0.9995,1.0,0.9995,0.5293,0.3538,0.9995,12.0891,100
4,0.9999,0.9999,1.0,0.9999,0.4705,0.5891,0.9999,3.6733,100
5,0.9996,0.9996,1.0,0.9996,0.5875,0.4715,0.9996,8.8416,100
6,0.9997,0.9997,1.0,0.9997,0.5882,0.4715,0.9997,11.0396,100
7,0.9993,0.937,1.0,0.9995,0.5007,0.502,0.9995,13.099,100
8,0.9996,0.9996,1.0,0.9996,0.5875,0.4715,0.9996,8.8416,100
9,0.9991,0.9991,1.0,0.9989,0.5864,0.0594,0.9989,22.7426,100
10,0.9994,0.9994,1.0,0.9994,0.6453,0.4728,0.9989,24.3069,100
11,0.9994,0.9994,1.0,0.9994,0.5865,0.0594,0.9994,24.2871,100
12,0.998,0.998,1.0,0.998,0.6848,0.5651,0.998,29.9307,100
13,0.9364,0.9364,1.0,0.9993,0.6227,0.4409,0.9986,30.901,100
14,0.9973,0.9973,1.0,0.9973,0.5306,0.4025,0.9973,30.5446,100
15,0.9985,0.9985,1.0,0.9974,0.6412,0.6459,0.9974,49.3762,100
16,0.9993,0.9993,1.0,0.9993,0.6228,0.3783,0.9993,33.0396,100
17,0.9983,0.9983,1.0,0.9983,0.6637,0.5363,0.9983,37.8317,100
18,0.9976,0.9976,1.0,0.9976,0.6633,0.4695,0.9976,35.3168,100
19,1.0,1.0,1.0,1.0,0.6853,0.5031,0.9993,33.297,100
20,0.9992,0.9992,1.0,0.9981,0.6413,0.6464,0.9981,49.3762,100
21,1.0,1.0,1.0,1.0,0.6916,0.5407,1.0,53.4554,100
22,0.9293,0.9293,1.0,1.0,0.57,0.6471,1.0,46.1089,100
23,0.9989,0.9989,1.0,0.9983,0.6904,0.5408,0.9983,50.901,100
24,0.9975,0.9975,1.0,0.9975,0.6633,0.5357,0.9975,35.1782,100
25,1.0,1.0,1.0,1.0,0.6853,0.5031,0.9993,33.495,100
26,0.9364,0.9364,1.0,0.9993,0.6227,0.5027,0.9986,30.901,100
27,0.9988,0.9988,1.0,0.9988,0.6848,0.4398,0.9984,29.0,100
28,0.9982,0.9982,1.0,0.9982,0.6223,0.377,0.9976,27.6931,100
29,0.9995,0.9995,1.0,0.9995,0.6454,0.4728,0.999,23.6733,100
30,0.9991,0.9991,1.0,0.999,0.5865,0.0594,0.999,21.1584,100
31,0.9995,0.9995,1.0,0.9995,0.6455,0.4139,0.9991,18.6832,100
32,0.9992,0.9992,1.0,0.9987,0.6229,0.4394,0.9987,22.8614,100
33,0.9991,0.9991,1.0,0.9991,0.6226,0.4409,0.9984,31.2772,100
34,0.9363,0.9363,1.0,0.9993,0.5603,0.5033,0.9986,31.099,100
35,0.9976,0.9976,1.0,0.9976,0.6848,0.5649,0.9976,26.8812,100
36,0.9991,0.9991,1.0,0.9985,0.685,0.5018,0.9985,27.8119,100
37,0.9993,0.9993,1.0,0.9993,0.6226,0.5651,0.9985,34.505,100
38,1.0,1.0,1.0,1.0,0.6409,0.5765,1.0,40.3663,100
39,0.9988,0.9988,1.0,0.9988,0.613,0.6948,0.9988,47.7327,100
40,0.9988,0.9988,1.0,0.9988,0.4976,0.6704,0.9988,43.4554,100
41,0.9988,0.9988,1.0,0.9988,0.4976,0.5875,0.9988,43.4554,100
42,0.9976,0.9976,1.0,0.9976,0.5799,0.6695,0.9964,43.8911,100
43,0.9987,0.9987,1.0,0.9987,0.4976,0.5875,0.9987,43.495,100
44,0.9988,0.9988,1.0,0.9988,0.6127,0.6195,0.9988,44.3465,100
45,0.9987,0.9987,1.0,0.9987,0.5808,0.6703,0.9987,43.495,100
46,0.9293,0.9293,1.0,1.0,0.57,0.6471,1.0,46.1089,100
47,0.9981,0.9981,1.0,0.9981,0.5684,0.5755,0.9981,42.2475,100
48,0.999,0.999,1.0,0.999,0.7116,0.6472,0.999,42.3861,100
49,0.9982,0.9982,1.0,0.9972,0.6398,0.5741,0.9972,45.7327,100
50,0.9981,0.9981,1.0,0.9981,0.6397,0.5753,0.9981,42.2475,100
51,1.0,1.0,1.0,1.0,0.5983,0.6049,1.0,40.3465,100
52,1.0,1.0,1.0,1.0,0.623,0.5033,0.9992,36.8614,100
53,0.999,0.999,1.0,0.999,0.6403,0.5757,0.999,44.3861,100
54,0.999,0.999,1.0,0.999,0.6403,0.647,0.999,43.4158,100
