,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.846,0.6537,0.9619,0.9614,0.6142,0.5006,0.9614,17.2368,75
1,0.8795,0.6795,1.0,0.7998,0.6383,0.5201,0.9595,22.4211,75
2,0.7699,0.5394,0.9618,0.9615,0.6529,0.5009,0.9615,13.1842,75
3,0.7692,0.6538,0.9617,0.9615,0.6919,0.4244,0.9615,10.4211,75
4,0.8078,0.7692,1.0,0.9613,0.6162,0.5781,0.9615,4.5789,75
5,0.7316,0.5394,0.9617,0.9615,0.6917,0.1554,0.9614,8.3947,75
6,0.7313,0.6159,1.0,0.9615,0.6153,0.1555,0.9615,8.1579,75
7,0.8798,0.7998,0.9997,0.9596,0.7602,0.5615,0.9191,16.0526,75
8,0.7316,0.5394,0.9617,0.9615,0.6917,0.1554,0.9614,8.3947,75
9,0.8401,0.6002,0.9996,0.9595,0.757,0.4392,0.9591,28.2632,75
10,0.7997,0.6402,0.9997,0.7593,0.7567,0.5593,0.9586,27.3421,75
11,0.8745,0.708,1.0,0.9987,0.7876,0.4568,0.9568,28.5,75
12,0.8002,0.7604,1.0,0.7594,0.7167,0.6397,0.9584,30.3947,75
13,0.9165,0.7086,0.9998,0.7905,0.7039,0.8353,0.9565,32.6053,75
14,0.826,0.6522,0.9994,0.7816,0.7345,0.7847,0.9549,29.5526,75
15,0.9542,0.682,0.9999,0.7729,0.7716,0.637,0.182,39.2632,75
16,0.868,0.7817,1.0,0.7815,0.7771,0.8278,0.9535,31.6579,75
17,0.8332,0.7086,0.9594,0.7494,0.7046,0.8353,0.2081,34.6053,75
18,0.7914,0.7086,0.9595,0.7497,0.7461,0.8353,0.916,34.2632,75
19,0.8327,0.7499,0.9999,0.7496,0.7047,0.8355,0.9149,33.7895,75
20,0.9542,0.682,0.9997,0.7729,0.7717,0.637,0.182,39.2632,75
21,0.7621,0.667,1.0001,0.5244,0.7134,0.6673,0.1906,40.5526,75
22,0.8188,0.7735,1.0001,0.7272,0.7246,0.7276,0.1821,37.9474,75
23,0.9089,0.682,1.0,0.773,0.7717,0.6369,0.182,39.2632,75
24,0.8331,0.7085,0.9595,0.7497,0.7455,0.8356,0.9155,33.9474,75
25,0.8328,0.75,1.0,0.7497,0.7048,0.8356,0.915,33.7895,75
26,0.9165,0.7086,0.9998,0.7905,0.7039,0.8353,0.9565,32.6053,75
27,0.8806,0.6808,1.0,0.9592,0.717,0.6001,0.9187,30.3421,75
28,0.8334,0.7091,1.0,0.791,0.7461,0.666,0.9563,29.0,75
29,0.7997,0.6402,0.9997,0.7593,0.7567,0.5595,0.9583,25.2105,75
30,0.7597,0.5603,0.9997,0.9595,0.6368,0.4394,0.9189,24.5526,75
31,0.7204,0.6806,1.0,0.7594,0.7571,0.5597,0.9587,22.1316,75
32,0.7997,0.6401,1.0,0.7596,0.757,0.5597,0.9587,27.1579,75
33,0.8404,0.7207,1.0,0.7597,0.7168,0.6399,0.9588,31.8684,75
34,0.9165,0.7086,0.9998,0.7905,0.7039,0.8353,0.9565,31.3947,75
35,0.8398,0.7201,1.0,0.7594,0.7566,0.6392,0.9585,30.6842,75
36,0.8398,0.6401,1.0,0.7596,0.7568,0.5595,0.9586,28.9474,75
37,0.833,0.7084,0.9995,0.7904,0.7038,0.8348,0.9564,35.2105,75
38,0.8631,0.7728,1.0,0.4996,0.678,0.8654,0.1815,31.6842,75
39,0.8579,0.8106,1.0,0.5234,0.7599,0.6198,0.1908,38.6842,75
40,0.7901,0.7901,0.9477,0.5261,0.6294,0.6856,0.211,38.8158,75
41,0.7901,0.7901,0.9477,0.5261,0.6294,0.6856,0.211,38.8158,75
42,0.8425,0.7901,1.0001,0.5262,0.6817,0.7379,0.2111,38.8158,75
43,0.79,0.79,0.9992,0.526,0.6293,0.6855,0.211,38.8158,75
44,0.9048,0.8096,1.0,0.5232,0.7119,0.6204,0.1909,38.3158,75
45,0.79,0.79,0.9992,0.526,0.6293,0.7379,0.211,38.8158,75
46,0.8188,0.7735,1.0001,0.7272,0.7246,0.7276,0.1821,37.9474,75
47,0.9086,0.7726,1.0,0.4996,0.7237,0.7732,0.1817,37.7632,75
48,0.9086,0.7725,1.0,0.4993,0.7246,0.8188,0.1817,38.0263,75
49,0.9133,0.783,0.9994,0.7828,0.7362,0.74,0.1742,39.5,75
50,0.8262,0.7397,0.9574,0.4783,0.7366,0.7835,0.1739,37.5526,75
51,0.8259,0.7826,1.0,0.5215,0.7357,0.8269,0.1734,37.1842,75
52,0.8327,0.7081,0.9997,0.7492,0.7043,0.7936,0.9141,35.9474,75
53,0.9086,0.7725,1.0,0.4993,0.7246,0.6376,0.1821,38.0263,75
54,0.9086,0.7725,1.0,0.4993,0.7245,0.6376,0.1817,38.0263,75
55,0.9086,0.7725,1.0,0.4993,0.7245,0.6376,0.1817,38.0263,75
56,0.8579,0.8106,0.9527,0.5234,0.7122,0.6198,0.1908,38.6842,75
57,0.7901,0.7901,0.9478,0.5261,0.6822,0.6856,0.211,38.8158,75
58,0.7901,0.7901,1.0,0.5261,0.6817,0.7379,0.211,38.8158,75
