,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
0,1.0,0.9995,1.0,1.0,0.0199,0.9995,0.2128,0.9995,0.2308,10.0,25,2058,11645,2057,10593,2058,12011,2058,11645,2057,10593,438,10626,41,19445,2057,10593,475,475,15
1,1.0,0.9986,1.0,1.0,0.0425,0.9986,0.2508,0.9203,0.1829,10.5385,25,2799,11692,2795,10146,2799,11590,2799,11692,2795,10146,702,10601,119,19787,2576,11744,512,6399,18
2,1.0,0.9981,1.0,1.0,0.0234,0.9981,0.2112,0.9981,0.2502,9.7692,25,1539,11898,1536,9766,1539,12198,1539,11898,1536,9766,325,10621,36,21361,1536,11904,385,385,14
3,1.0,1.0,1.0,1.0,0.0,1.0,0.2197,1.0,0.2763,7.9231,25,742,12788,742,12788,742,12671,742,12788,742,11710,163,10619,0,21079,742,12788,205,205,18
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0,22839,0,22839,0,22701,0,22839,0,21456,0,19556,0,21456,0,22839,0,7297,50
5,1.0,1.0,1.0,1.0,0.0,1.0,0.2197,1.0,0.2763,7.9231,25,742,12788,742,12788,742,12671,742,12788,742,11710,163,10619,0,21079,742,12788,205,205,18
6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2895,7.9231,25,411,13056,411,13056,411,12940,411,13056,411,11983,0,18082,0,20993,411,13056,119,119,18
7,1.0,1.0,1.0,1.0,0.9135,1.0,0.6632,1.0,0.0,2.0769,25,959,22275,959,13965,959,23976,959,22275,959,21303,636,17940,876,23812,959,22784,0,6957,42
8,1.0,1.0,1.0,1.0,0.0,1.0,0.2197,1.0,0.2763,7.9231,25,742,12788,742,12788,742,12671,742,12788,742,11710,163,10619,0,21079,742,12788,205,205,18
9,1.0,0.9835,1.0,0.8839,0.2137,0.9835,0.3247,0.9835,0.2408,10.1538,25,3763,15058,3701,13461,3763,15382,3326,11477,3701,11099,1222,11344,804,19947,3701,13461,906,8704,22
10,1.0,0.9995,1.0,1.0,0.047,0.9995,0.152,0.9929,0.2337,9.9231,25,4104,11293,4102,9646,4104,11184,4104,11293,4102,9646,624,11368,193,20474,4075,11137,959,7793,22
11,0.8589,0.8589,1.0,0.8381,0.2444,0.8329,0.3346,0.7788,0.2134,10.8462,25,4959,14820,4959,13051,5774,15273,4839,11569,4809,10932,1932,11661,1411,18503,4497,18260,1232,8972,23
12,1.0,0.9965,1.0,0.9774,0.075,0.9739,0.224,0.9627,0.2132,12.8462,25,5093,14401,5075,12731,5093,14290,4978,10896,4960,9226,1141,11197,382,17763,4903,10769,1086,8244,16
13,1.0,0.999,1.0,0.9141,0.1069,0.9446,0.2591,0.9285,0.3567,12.4615,25,7276,14417,7269,12541,7276,14293,6651,10997,6873,11229,1885,11816,778,16676,6756,12300,2595,9021,21
14,1.0,0.9421,1.0,0.8758,0.3753,0.9421,0.4162,0.9209,0.3972,12.3077,25,9737,18382,9173,14098,9737,17968,8528,12024,9173,14098,4053,13624,3654,18651,8967,17052,3868,9973,22
15,1.0,0.9965,1.0,0.9318,0.3981,0.9965,0.3627,0.9283,0.0035,16.6923,25,12604,14165,12560,11450,12604,13721,11744,10782,12560,11450,4572,11087,5018,18105,11700,9272,44,44,7
16,1.0,0.9988,1.0,0.921,0.0856,0.9681,0.2165,0.9619,0.3224,13.0,25,9250,17734,9239,14752,9250,16709,8519,10601,8955,11315,2003,13322,792,18719,8898,12430,2982,9047,24
17,1.0,0.9987,1.0,0.8892,0.1468,0.9397,0.2747,0.9365,0.316,13.6923,25,10715,17330,10701,14846,10715,16928,9528,10842,10069,11523,2943,13374,1573,18508,10035,14894,3386,8816,20
18,1.0,0.9988,1.0,0.8937,0.1445,0.9417,0.2732,0.937,0.3157,13.6923,25,9980,17682,9968,14627,9980,16632,8919,10685,9398,11385,2727,12981,1442,17892,9351,14649,3151,8596,20
19,1.0,0.9988,1.0,0.9049,0.1169,0.9466,0.2691,0.9377,0.3617,12.4615,25,8647,14003,8637,12614,8647,14490,7825,10492,8185,11236,2327,12358,1011,17688,8108,12330,3128,9325,21
20,1.0,0.9965,1.0,0.9311,0.3985,0.9965,0.3626,0.9276,0.0035,16.6923,25,12852,14272,12807,11521,12852,13822,11966,10858,12807,11521,4660,11207,5122,18309,11921,9328,45,45,7
21,1.0,0.9963,1.0,0.9198,0.3537,0.9963,0.2719,0.9198,0.0037,16.7692,25,18608,15208,18540,14567,18608,15208,17116,11755,18540,14567,5060,11728,6581,20531,17116,11755,68,68,7
22,1.0,0.9959,1.0,0.9244,0.3136,0.9959,0.2512,0.9203,0.0041,17.3077,25,17107,17637,17037,14589,17107,17431,15813,11126,17037,14589,4297,10980,5365,19286,15743,10552,70,70,7
23,1.0,0.9965,1.0,0.927,0.315,0.9965,0.3605,0.9234,0.0035,16.7692,25,14731,14079,14679,12206,14731,13581,13655,10393,14679,12206,5310,12230,4640,17360,13603,9871,52,52,7
24,1.0,0.9988,1.0,0.8965,0.1206,0.9429,0.2724,0.9372,0.2781,12.5385,25,9615,17536,9603,14537,9615,16505,8620,10620,9066,11331,2619,12800,1160,18470,9011,12450,2674,9706,22
