,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
208,0.9701,0.8981,1.0,0.853,0.1911,0.8561,0.0679,0.8267,0.0,19.5263,75,1914,30016,1772,14377,1973,33993,1683,21546,1689,13178,134,43213,377,48421,1631,18507,0,8902,13
209,0.8832,0.8314,1.0,0.7824,0.0,0.8314,0.1576,0.8028,0.0631,24.9737,75,3682,19718,3466,12401,4169,35493,3262,11253,3466,12401,657,44042,0,48375,3347,17605,263,8944,25
210,0.9785,0.9785,1.0,0.973,0.0,0.9773,0.0,0.9773,0.225,16.3684,75,1596,27651,1596,15182,1631,27743,1587,19387,1594,13632,0,44527,0,49092,1594,25131,367,367,17
211,0.9785,0.9785,1.0,0.973,0.0,0.9773,0.0,0.9773,0.225,16.3684,75,1596,27651,1596,15182,1631,27743,1587,19387,1594,13632,0,44527,0,49092,1594,25131,367,367,17
212,1.0,1.0,1.0,0.9816,0.0846,0.9832,0.0359,0.9513,0.2402,14.9474,75,1253,22854,1253,14041,1253,22723,1230,21495,1232,11620,45,44771,106,49101,1192,21839,301,301,19
213,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.238,12.9737,75,920,20996,920,11830,920,19922,920,20996,920,11830,0,44123,0,49120,920,14763,219,219,11
214,0.9146,0.7494,0.9956,0.5901,0.0962,0.7081,0.1609,0.6515,0.0309,26.4474,75,8857,42410,7257,21699,9641,42350,5715,10564,6857,15076,1558,44778,932,48473,6309,17908,299,6942,30
215,0.9506,0.8677,1.0,0.7592,0.0241,0.8544,0.1206,0.8819,0.0,27.0263,75,6905,34661,6303,16376,7264,35175,5515,11514,6206,12971,876,46098,175,48516,6406,30141,0,5607,26
216,0.9689,0.9501,1.0,0.8211,0.1535,0.9501,0.1024,0.9466,0.1731,36.1579,75,10544,26944,10340,12631,10883,34822,8936,11399,10340,13242,1114,42533,1670,47773,10302,21809,1884,6295,19
217,0.9708,0.884,0.9774,0.6101,0.1606,0.7251,0.2811,0.5997,0.0451,35.7105,75,22093,42975,20119,27563,22243,48860,13885,10842,16502,20783,6397,44211,3655,47284,13647,31338,1026,6763,26
218,0.9651,0.9512,1.0,0.7128,0.0564,0.8393,0.1812,0.7125,0.2628,35.2895,75,30016,37261,29583,28590,31101,44138,22169,16106,26104,25412,5636,41239,1754,47219,22158,35560,8173,17487,40
219,0.893,0.7524,0.9935,0.5713,0.0678,0.7092,0.1923,0.6845,0.0377,31.0,75,18909,48748,15932,31841,21037,49129,12097,9592,15016,16006,4072,44057,1435,48151,14494,20121,798,6627,30
220,0.9899,0.9436,1.0,0.7901,0.1367,0.9436,0.2093,0.9442,0.0,38.6842,75,14016,33144,13360,13738,14159,32839,11187,10290,13360,13738,2964,43376,1935,47539,13369,38530,0,6886,20
221,0.99,0.9432,1.0,0.7719,0.0213,0.9432,0.0746,0.9412,0.0362,39.8158,75,23760,34730,22637,17391,24000,34068,18525,10844,22637,17391,1790,41719,512,47705,22589,21955,868,7790,30
222,0.9899,0.943,1.0,0.7574,0.0251,0.943,0.1298,0.9059,0.0365,39.8158,75,22575,34491,21505,16661,22805,33562,17272,12869,21505,16661,2959,42597,573,48680,20660,33680,832,7822,31
223,1.0,0.9437,1.0,0.7709,0.0214,0.9437,0.1217,0.9419,0.1796,39.8158,75,25703,34922,24256,18587,25703,34083,19815,11596,24256,18587,3127,41245,549,48695,24209,24958,4615,10783,31
224,1.0,0.9443,1.0,0.7709,0.0481,0.9443,0.1059,0.9422,0.0349,39.8158,75,27564,35375,26029,20123,27564,34516,21250,12561,26029,20123,2918,41184,1327,47853,25972,24551,962,10335,34
225,0.9908,0.9611,1.0,0.7869,0.0218,0.9611,0.0936,0.9569,0.1825,38.9211,75,31073,36941,30144,24736,31363,35470,24681,15459,30144,24736,2935,41800,685,46413,30010,27090,5724,11236,42
226,1.0,1.0,1.0,0.9125,0.0128,1.0,0.0506,0.8436,0.3809,27.7368,75,34153,36730,34153,36537,34153,36730,31163,29538,34153,36537,1728,38903,438,46584,28810,40834,13008,37274,59
227,1.0,1.0,1.0,0.912,0.0131,1.0,0.0512,0.548,0.4099,27.7368,75,33596,36067,33596,35406,33596,36067,30639,28614,33596,35406,1719,37946,439,45461,18412,42652,13771,39876,86
228,1.0,0.973,1.0,0.8,0.0078,0.973,0.0792,0.9191,0.3265,29.8684,75,32292,39359,31421,32671,32292,39359,25835,20960,31421,32671,2556,40019,252,47374,29678,38039,10542,30812,65
229,1.0,1.0,1.0,0.8719,0.023,1.0,0.054,1.0,0.2439,35.8684,75,37469,45742,37469,40414,37469,45742,32668,30259,37469,45093,2022,38104,863,47214,37469,45093,9140,21145,54
230,1.0,1.0,1.0,0.9117,0.0132,1.0,0.0514,0.5491,0.4102,27.7368,75,33322,35501,33322,34849,33322,35501,30379,28160,33322,34849,1713,37474,439,47735,18296,42029,13669,39329,86
231,1.0,1.0,1.0,0.836,0.0223,1.0,0.053,0.9859,0.236,35.8684,75,37754,44590,37754,38195,37754,44590,31562,28370,37754,42654,2001,40230,841,47276,37222,43794,8909,19930,68
232,1.0,0.9762,1.0,0.8027,0.022,0.9762,0.0573,0.9698,0.1849,38.6842,75,33241,34729,32451,28071,33241,37332,26681,17555,32451,28071,1905,38324,730,47714,32236,30747,6147,12560,46
233,1.0,1.0,1.0,0.911,0.024,1.0,0.0557,1.0,0.2537,35.8684,75,36470,42420,36470,36962,36470,42420,33225,31243,36470,36962,2030,39079,874,46387,36470,41754,9253,21774,42
234,1.0,1.0,1.0,0.8278,0.0224,1.0,0.0555,0.9902,0.2382,36.2632,75,34995,36602,34995,32474,34995,36253,28969,20320,34995,32474,1941,39233,783,46043,34653,35576,8336,17277,59
235,0.9977,0.9977,1.0,0.8587,0.0228,0.9977,0.078,0.8025,0.2427,35.0263,75,32405,39797,32405,32104,32479,39009,27891,22737,32405,35875,2534,40085,742,47187,26064,35190,7882,18601,58
236,0.9907,0.9454,1.0,0.7728,0.0235,0.9454,0.0949,0.9421,0.1797,38.9211,75,30112,35477,28735,22976,30395,35471,23488,14353,28735,22976,2884,39272,715,47446,28636,27978,5461,10517,39
237,1.0,0.9614,1.0,0.7877,0.0217,0.9614,0.0593,0.9567,0.1825,38.9211,75,31841,36402,30611,25362,31841,36321,25080,15852,30611,25362,1888,38944,690,46097,30463,27777,5810,11488,42
238,1.0,1.0,1.0,0.8351,0.0223,1.0,0.0533,0.9864,0.2362,35.8684,75,37466,43870,37466,37554,37466,43870,31287,27913,37466,41958,1996,39715,835,47622,36957,43066,8850,19635,68
239,1.0,1.0,1.0,0.8346,0.0223,1.0,0.0534,0.9867,0.2364,35.8684,75,37321,43514,37321,37237,37321,43514,31148,27687,37321,41614,1993,39462,833,47326,36823,42707,8822,19489,68
