,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
0,0.988,0.8676,1.0,0.4652,0.0,0.9439,0.0294,0.9358,13.3529,50,739,9933,649,3538,748,9944,348,1855,706,9943,22,8683,0,9880,700,8405,5
1,0.9729,0.7548,1.0,0.3975,0.0,0.8897,0.0552,0.7548,15.0,50,1111,9874,862,3431,1142,9795,454,1802,1016,9876,63,8837,0,9747,862,3431,5
2,0.9666,0.9081,1.0,0.5887,0.0,1.0,0.0188,0.9081,13.1961,50,463,9564,435,3702,479,9977,282,1895,479,9977,9,8603,0,9776,435,6471,6
3,1.0,1.0,1.0,0.5758,0.0,1.0,0.0,0.9924,8.7647,50,264,9524,264,6546,264,9827,152,1989,264,9524,0,9870,0,9927,262,3796,9
4,1.0,1.0,1.0,0.8161,0.0,1.0,0.0,0.7129,1.4314,50,310,9842,310,7593,310,9662,253,9829,310,9842,0,9894,0,9969,221,7795,11
5,1.0,1.0,1.0,0.5758,0.0,1.0,0.0,0.9924,8.7647,50,264,9524,264,6546,264,9827,152,1989,264,9524,0,9870,0,9927,262,3796,9
6,1.0,1.0,1.0,0.8381,0.0,1.0,0.0,1.0,6.8431,50,105,9731,105,3930,105,9983,88,2043,105,9731,0,9825,0,9943,105,3930,10
7,0.9164,0.8782,1.0,0.9164,0.0,1.0,0.1573,0.6473,2.3725,50,1008,9862,966,3708,1100,9761,1008,9862,1100,9562,173,8770,0,9778,712,9867,10
8,1.0,1.0,1.0,0.5758,0.0,1.0,0.0,0.9924,8.7647,50,264,9524,264,6546,264,9827,152,1989,264,9524,0,9870,0,9927,262,3796,9
9,0.7602,0.7602,1.0,0.2707,0.0604,1.0,0.0604,0.6344,11.7059,50,1522,9824,1522,5020,2002,9609,542,1857,2002,9950,121,9354,121,9987,1270,5625,7
10,1.0,0.8242,1.0,0.3841,0.0,1.0,0.0676,0.8242,12.5686,50,1627,9969,1341,3205,1627,9946,625,1267,1627,9969,110,9325,0,9844,1341,3205,7
11,1.0,0.6369,1.0,0.2722,0.0,1.0,0.0857,0.6369,13.5882,50,2531,9810,1612,3190,2531,9724,689,1329,2531,9810,217,8932,0,9813,1612,5855,6
12,1.0,0.8058,1.0,0.4137,0.0,0.9256,0.0507,0.8058,19.7451,50,1854,9833,1494,3239,1854,9847,767,1712,1716,9895,94,9638,0,9722,1494,3239,5
13,1.0,0.7986,1.0,0.2956,0.0039,0.9352,0.0777,0.6393,17.2353,50,3332,9815,2661,5538,3332,9815,985,1188,3116,9966,259,9558,13,9986,2130,3087,5
14,0.8337,0.8116,1.0,0.2664,0.1079,1.0,0.1404,0.6268,17.4314,50,3849,9329,3747,8764,4617,9555,1230,1403,4617,9555,648,9099,498,9938,2894,7040,5
15,0.8428,0.8428,1.0,0.5522,0.0,0.7901,0.118,0.8026,26.1765,50,3915,9848,3915,5942,4645,9523,2565,2921,3670,9990,548,9831,0,9939,3728,8257,4
