,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
0,0.9741,0.9145,1.0,0.9157,0.0673,0.9145,0.1244,0.9137,0.0194,13.3529,50,2404,24990,2257,12607,2468,33446,2260,17446,2257,13071,307,41869,166,46767,2255,22517,48,7699,19
1,0.9052,0.8382,1.0,0.8267,0.1922,0.8122,0.2681,0.7915,0.2264,15.0,50,3447,33325,3192,19745,3808,40675,3148,17088,3093,14624,1021,41899,732,46242,3014,16053,862,9010,21
2,0.9905,0.9738,1.0,0.9905,0.047,0.9738,0.0696,0.9738,0.0155,13.1961,50,1666,17286,1638,10685,1682,17699,1666,17286,1638,11144,117,41614,79,48505,1638,14193,26,8615,14
3,1.0,1.0,1.0,1.0,0.0024,0.9976,0.0,0.9976,0.3168,8.7647,50,827,17734,827,14031,827,18037,827,17734,825,11731,0,43373,2,47997,825,12006,262,9393,17
4,1.0,1.0,1.0,1.0,0.038,1.0,0.8122,1.0,0.0,1.4314,50,474,48397,474,38981,474,49075,474,48846,474,46588,385,43790,18,46792,474,46627,0,6247,49
5,1.0,1.0,1.0,1.0,0.0024,0.9976,0.0,0.9976,0.3168,8.7647,50,827,17734,827,14031,827,18037,827,17734,825,11731,0,43373,2,47997,825,12006,262,9393,17
6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2861,6.8431,50,367,26522,367,19764,367,26142,367,26218,367,12126,0,45053,0,44884,367,20484,105,9653,28
7,1.0,0.986,1.0,0.9593,0.4387,0.9152,0.4337,0.8207,0.0,2.3725,50,2995,46949,2953,15143,2995,48830,2873,48977,2741,45108,1299,42906,1314,47768,2458,47483,0,7255,44
8,1.0,1.0,1.0,1.0,0.0024,0.9976,0.0,0.9976,0.3168,8.7647,50,827,17734,827,14031,827,18037,827,17734,825,11731,0,43373,2,47997,825,12006,262,9393,17
9,0.9536,0.8814,1.0,0.6328,0.177,1.0,0.3243,0.6859,0.0,11.7059,50,6658,48032,6154,23422,6982,47565,4418,17354,6982,46744,2264,42217,1236,46506,4789,27244,0,7187,33
10,1.0,0.9091,1.0,0.7955,0.1048,0.9146,0.21,0.9014,0.2371,12.5686,50,5657,40167,5143,15699,5657,41184,4500,16608,5174,16172,1188,42385,593,45016,5099,16496,1341,9121,36
11,0.9206,0.7492,1.0,0.596,0.185,0.995,0.2647,0.6799,0.0,13.5882,50,8760,49109,7129,20856,9516,46390,5672,16784,9468,47619,2519,44046,1760,45887,6470,19298,0,6759,31
12,0.9809,0.9343,1.0,0.7993,0.1925,0.8945,0.3278,0.8677,0.2207,19.7451,50,6641,41295,6325,19010,6770,40655,5411,16450,6056,16268,2219,42471,1303,42669,5874,16330,1494,8873,25
13,0.9225,0.7333,1.0,0.5875,0.2323,0.9417,0.2984,0.7384,0.1626,17.2353,50,12087,47910,9608,21324,13102,48311,7698,16306,12338,48151,3909,42306,3043,46651,9675,28740,2130,8236,22
14,1.0,0.7549,1.0,0.5509,0.1856,0.9776,0.3804,0.6631,0.0055,17.4314,50,18778,47380,14175,23634,18778,46849,10345,17299,18358,45496,7144,43500,3486,43251,12452,25093,103,9506,26
15,0.9059,0.879,1.0,0.5872,0.3774,0.7548,0.4594,0.7109,0.045,26.1765,50,18475,47524,17927,28759,20394,46626,11975,16828,15394,18242,9369,39734,7697,41083,14499,34992,917,917,16
16,0.9468,0.8028,0.9743,0.6314,0.2439,0.9328,0.2802,0.8651,0.1825,22.3725,50,14123,48362,11975,19108,14533,48208,9419,16177,13914,47526,4180,42056,3638,45137,12904,27927,2722,7604,22
17,0.9844,0.7917,1.0,0.5795,0.27,0.9084,0.3818,0.7967,0.1681,23.6275,50,17826,48025,14337,22531,18109,47201,10495,15988,16450,45180,6914,41674,4889,42241,14427,30465,3044,7912,22
18,0.9413,0.7659,0.9601,0.5793,0.2936,0.8963,0.3999,0.818,0.1635,22.3333,50,16412,48808,13354,22138,16740,47078,10101,16062,15628,46812,6972,40296,5120,44582,14262,29145,2850,7739,23
19,0.9416,0.746,1.0,0.5852,0.2983,0.9164,0.3195,0.8966,0.0,20.0196,50,14586,48080,11557,21612,15491,48740,9065,16025,14196,47767,4949,41670,4621,44908,13889,34784,0,0,21
20,0.9185,0.8658,1.0,0.5866,0.3777,0.7551,0.4598,0.7107,0.045,26.1765,50,19103,47704,18008,28387,20799,47117,12200,16664,15705,18382,9563,40197,7855,41576,14782,35371,936,936,16
21,0.942,0.9101,1.0,0.6702,0.2932,0.8829,0.2499,0.8279,0.1731,26.8824,50,24592,48439,23759,28776,26106,45416,17495,18511,23050,23518,6523,42411,7654,47735,21612,31299,4518,11350,24
22,0.9862,0.9557,1.0,0.7082,0.1942,0.9566,0.197,0.9566,0.1835,29.7451,50,22063,42416,21379,19633,22371,41827,15844,15633,21401,26879,4407,35336,4344,41997,21401,23534,4104,10466,19
23,0.9076,0.8783,1.0,0.6249,0.2779,0.8135,0.2921,0.6948,0.1614,26.8824,50,20196,46977,19542,28597,22251,47187,13904,16531,18101,19604,6500,37324,6183,39581,15460,28153,3591,8734,24
24,0.9417,0.7662,1.0,0.5927,0.2918,0.8966,0.3984,0.8188,0.1641,22.3333,50,15809,48261,12862,21970,16787,46795,9949,16127,15052,46227,6688,39701,4898,43879,13745,28857,2754,7637,23
25,0.9418,0.746,1.0,0.5827,0.2989,0.9162,0.3858,0.8964,0.0,20.0196,50,14795,48286,11719,21650,15709,48907,9153,16129,14393,47941,6060,41796,4696,45128,14081,34884,0,0,21
26,0.9195,0.7332,1.0,0.5791,0.2328,0.9415,0.2996,0.7378,0.1622,17.2353,50,12254,48198,9772,21335,13327,48430,7717,16304,12547,47475,3993,42481,3102,46869,9832,28800,2162,8265,22
