,seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std
198,40,60,100,2,10,1,2500,5,0.5,1,8,1,33,50,0,142.091,6.87552,2487.82,14.0297,16.2121,0.467707
199,62,80,100,2,10,5,5000,5,0.5,1,2,1,33,50,0,318.758,18.3559,4996.18,3.60082,27.4545,1.23744
200,62,80,100,2,10,5,5000,5,0.5,1,8,1,33,50,0,254.758,10.4134,4977.27,19.9405,31.8788,1.07529
201,33,50,100,2,10,1,2500,10,0.5,1,3,1,33,50,0,165.061,10.9799,2418.84,62.3838,9.33333,4.64018
202,8,20,100,2,10,1,2500,5,0.5,1,0,1,33,50,0,110.152,9.10742,2414.22,69.8611,11.1818,1.76777
203,16,30,100,2,10,1,2500,5,0.5,1,2,1,33,50,0,155.485,14.6972,2488.12,12.9585,10.9697,1.5
204,55,70,100,2,10,5,5000,10,0.5,1,8,1,33,50,0,235.879,15.8445,4969.7,25.7783,31.697,1.04583
205,11,20,100,2,10,5,2500,10,0.5,1,6,1,33,50,0,109.545,15.244,2366.4,114.631,13.697,1.44698
206,4,10,100,2,10,1,5000,5,0.5,1,6,1,33,50,0,56.9394,6.97737,1417.94,132.258,8.57576,1.04583
207,10,20,100,2,10,5,2500,5,0.5,1,2,1,33,50,0,98.1818,14.8775,2442.0,89.2542,14.1212,1.03078
208,57,80,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,149.788,5.43,2490.54,11.4446,16.4545,0.684653
209,15,20,100,2,10,5,5000,10,0.5,1,6,1,33,50,0,105.697,12.8513,2506.97,254.021,14.5455,1.83712
210,6,10,100,2,10,5,5000,5,0.5,1,8,1,33,50,0,52.4242,9.94369,1480.71,134.261,9.24242,0.790569
211,79,100,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,339.364,19.8507,4951.07,39.178,26.8788,1.51038
212,16,30,100,2,10,1,2500,5,0.5,1,8,1,33,50,0,117.364,9.698,2460.02,30.5243,15.7879,0.901388
213,73,100,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,154.303,5.34138,2484.93,15.563,16.5152,0.728869
214,12,20,100,2,10,1,5000,5,0.5,1,3,1,33,50,0,110.909,13.4985,3286.89,665.919,14.7576,4.20193
215,77,100,100,2,10,1,5000,10,0.5,1,2,1,33,50,0,545.879,25.102,4992.45,7.91395,13.6667,1.5411
216,16,30,100,2,10,1,2500,5,0.5,1,6,1,33,50,0,149.848,14.1402,2434.83,44.3159,12.7879,1.14564
217,30,40,100,2,10,5,5000,5,0.5,1,6,1,33,50,0,186.939,16.0038,4440.16,293.011,26.5455,2.09165
218,22,30,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,133.455,20.936,3930.91,420.825,23.5758,1.87916
219,25,40,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,129.97,7.52697,2480.12,16.911,15.8788,0.951972
220,44,60,100,2,10,1,5000,5,0.5,1,6,1,33,50,0,327.303,18.3465,4895.88,93.9965,24.1818,1.62019
221,17,30,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,116.818,10.0139,2465.91,36.8793,15.6667,0.866025
222,25,40,100,2,10,1,2500,10,0.5,1,2,1,33,50,0,189.333,17.113,2493.36,4.94228,9.06061,1.27475
223,21,30,100,2,10,1,5000,10,0.5,1,6,1,33,50,0,167.152,15.9101,3344.69,255.78,18.5152,1.96055
224,37,50,100,2,10,1,5000,10,0.5,1,2,1,33,50,0,284.212,21.4545,4980.42,27.6248,16.4848,2.95804
225,39,50,100,2,10,5,5000,10,0.5,1,2,1,33,50,0,281.273,24.1147,4987.39,17.448,23.2727,1.86246
226,30,40,100,2,10,5,5000,5,0.5,1,0,1,33,50,0,192.758,17.7113,4746.91,285.233,25.6061,2.80624
227,21,30,100,2,10,1,5000,10,0.5,1,2,1,33,50,0,170.818,17.7385,4702.3,273.557,8.09091,2.33854
228,78,100,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,276.818,22.3473,4938.09,44.462,28.6667,2.01556
229,5,10,100,2,10,1,5000,10,0.5,1,6,1,33,50,0,56.0606,9.50638,1438.9,161.222,8.57576,1.33463
230,57,80,100,2,10,1,2500,10,0.5,1,6,1,33,50,0,293.242,18.2996,2437.95,41.5556,9.24242,1.08972
231,14,20,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,101.606,10.5828,2992.62,546.933,16.9091,2.68095
232,6,10,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,52.2424,11.4456,1566.95,336.948,9.12121,1.1726
233,55,70,100,2,10,5,5000,10,0.5,1,6,1,33,50,0,345.97,24.1331,4935.07,47.8766,25.5455,1.29904
234,59,80,100,2,10,5,2500,10,0.5,1,8,1,33,50,0,148.545,6.03164,2489.11,11.6471,16.3636,0.612372
235,44,60,100,2,10,1,5000,5,0.5,1,8,1,33,50,0,227.576,14.3702,4971.47,22.434,31.7273,1.0
236,48,70,100,2,10,1,2500,5,0.5,1,8,1,33,50,0,147.697,6.85331,2488.03,16.7306,16.3636,0.612372
237,9,20,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,91.7273,10.3931,2428.01,51.3999,15.303,0.559017
238,33,50,100,2,10,1,2500,10,0.5,1,0,1,33,50,0,220.212,12.7396,2489.85,8.72511,8.60606,1.67705
239,46,60,100,2,10,5,5000,5,0.5,1,6,1,33,50,0,260.424,19.5,4927.3,44.9639,28.7273,1.45774
240,2,10,100,2,10,5,2500,5,0.5,1,8,1,33,50,0,53.1818,7.60532,1465.86,136.365,9.21212,0.770552
241,11,20,100,2,10,5,2500,10,0.5,1,0,1,33,50,0,112.394,15.8251,2437.45,52.2874,12.3333,1.23744
242,1,10,100,2,10,1,2500,10,0.5,1,3,1,33,50,0,52.6364,7.94047,1532.41,173.24,8.54545,2.06155
243,51,70,100,2,10,5,2500,10,0.5,1,3,1,33,50,0,179.152,11.4021,2454.33,36.6668,13.303,1.67705
244,62,80,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,260.879,14.724,4933.73,44.7266,28.5758,2.21501
245,65,90,100,2,10,1,2500,10,0.5,1,6,1,33,50,0,308.636,21.767,2449.81,37.6289,9.18182,0.968246
246,67,90,100,2,10,5,2500,10,0.5,1,6,1,33,50,0,261.333,14.1547,2455.35,36.5531,12.6364,1.04583
247,25,40,100,2,10,1,2500,10,0.5,1,6,1,33,50,0,180.939,17.0623,2431.15,44.9209,11.6061,1.22474
248,49,70,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,145.667,5.06623,2481.82,20.4643,16.3333,0.586302
249,27,40,100,2,10,5,2500,10,0.5,1,2,1,33,50,0,180.273,12.6152,2494.79,4.38576,12.2121,1.07529
250,13,20,100,2,10,1,5000,10,0.5,1,0,1,33,50,0,115.333,12.1441,4126.47,507.875,7.45455,1.91213
251,37,50,100,2,10,1,5000,10,0.5,1,8,1,33,50,0,203.636,17.61,4925.58,85.8437,31.303,0.935414
252,77,100,100,2,10,1,5000,10,0.5,1,3,1,33,50,0,405.333,21.8742,4816.44,147.876,9.0303,1.51038
253,65,90,100,2,10,1,2500,10,0.5,1,2,1,33,50,0,319.788,22.3687,2492.91,6.8982,7.60606,1.08972
254,34,50,100,2,10,5,2500,5,0.5,1,6,1,33,50,0,163.394,13.7907,2446.88,40.8196,14.3333,0.951972
255,49,70,100,2,10,1,2500,10,0.5,1,3,1,33,50,0,205.485,15.7344,2400.92,85.9777,6.18182,3.55317
256,47,60,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,260.758,22.3859,4932.27,40.9776,26.3333,2.50624
257,26,40,100,2,10,5,2500,5,0.5,1,8,1,33,50,0,130.848,9.1826,2476.09,22.7142,15.9091,1.06066
258,31,40,100,2,10,5,5000,10,0.5,1,6,1,33,50,0,220.879,19.6083,4147.35,309.692,22.0,2.10654
259,43,60,100,2,10,5,2500,10,0.5,1,8,1,33,50,0,140.636,5.46476,2487.24,16.4545,16.1515,0.637377
260,61,80,100,2,10,1,5000,10,0.5,1,6,1,33,50,0,418.606,24.6512,4933.8,48.2945,21.8788,1.86246
261,67,90,100,2,10,5,2500,10,0.5,1,2,1,33,50,0,265.182,13.4756,2494.73,5.69689,12.2121,0.918559
262,8,20,100,2,10,1,2500,5,0.5,1,3,1,33,50,0,98.9091,8.92806,2416.51,59.6937,14.4545,2.05396
263,29,40,100,2,10,1,5000,10,0.5,1,2,1,33,50,0,229.091,19.9003,4841.15,192.743,12.0,3.43693
264,41,60,100,2,10,1,2500,10,0.5,1,2,1,33,50,0,252.879,22.6077,2494.64,5.59474,8.18182,1.19896
265,70,90,100,2,10,5,5000,5,0.5,1,8,1,33,50,0,266.636,11.5699,4984.21,14.7792,32.3939,0.770552
266,71,90,100,2,10,5,5000,10,0.5,1,8,1,33,50,0,264.879,16.311,4982.22,16.7443,32.2424,0.75
267,45,60,100,2,10,1,5000,10,0.5,1,6,1,33,50,0,325.909,20.5188,4879.56,158.037,24.0909,1.74105
268,20,30,100,2,10,1,5000,5,0.5,1,8,1,33,50,0,136.515,15.4821,3799.27,290.328,23.7273,1.92029
269,23,30,100,2,10,5,5000,10,0.5,1,8,1,33,50,0,140.485,11.8957,3704.76,294.134,23.697,1.96055
270,47,60,100,2,10,5,5000,10,0.5,1,2,1,33,50,0,326.273,22.2827,4992.03,13.5773,23.6364,1.57123
271,41,60,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,142.0,6.46626,2481.67,19.7382,16.2424,0.5
272,36,50,100,2,10,1,5000,5,0.5,1,3,1,33,50,0,243.485,21.872,4918.05,59.0365,27.1515,3.60988
273,56,80,100,2,10,1,2500,5,0.5,1,6,1,33,50,0,274.455,18.7585,2438.77,39.1012,10.8485,1.14564
